config,dataset,sim,jobid,color,min,avg,max,nonzero,nzavg
2blues,4jobs-1,sim1,0,T,3.709,94.647,380.773,45720,94.647
2blues,4jobs-1,sim1,0,b,3.709,263.580,380.773,2520,263.580
2blues,4jobs-1,sim1,0,g,10.813,91.428,247.242,21600,91.428
2blues,4jobs-1,sim1,0,k,18.000,78.157,208.745,21600,78.157
2blues,4jobs-1,sim1,1,T,0.000,37.182,373.307,45576,37.299
2blues,4jobs-1,sim1,1,b,0.000,138.481,373.307,2376,146.874
2blues,4jobs-1,sim1,1,g,0.574,33.076,111.019,21600,33.076
2blues,4jobs-1,sim1,1,k,5.165,29.469,91.241,21600,29.469
2blues,4jobs-1,sim1,2,T,0.001,0.270,5.575,45720,0.270
2blues,4jobs-1,sim1,2,b,0.007,0.137,0.980,2520,0.137
2blues,4jobs-1,sim1,2,g,0.001,0.318,5.575,21600,0.318
2blues,4jobs-1,sim1,2,k,0.001,0.237,1.940,21600,0.237
2blues,4jobs-1,sim1,3,T,0.000,55.330,378.147,45672,55.388
2blues,4jobs-1,sim1,3,b,0.000,123.534,378.147,2496,124.721
2blues,4jobs-1,sim1,3,g,0.000,55.859,233.765,21576,55.921
2blues,4jobs-1,sim1,3,k,3.351,46.843,194.534,21600,46.843
2blues,4jobs-1,sim1,4,T,0.000,1.866,19.376,45312,1.882
2blues,4jobs-1,sim1,4,b,0.000,1.428,15.463,2280,1.578
2blues,4jobs-1,sim1,4,g,0.000,2.175,19.376,21432,2.192
2blues,4jobs-1,sim1,4,k,0.006,1.607,9.923,21600,1.607
2blues,4jobs-1,sim2,0,T,9.610,111.279,439.400,45720,111.279
2blues,4jobs-1,sim2,0,b,54.994,294.069,439.400,2520,294.069
2blues,4jobs-1,sim2,0,g,9.610,108.750,256.137,21600,108.750
2blues,4jobs-1,sim2,0,k,19.256,92.482,208.820,21600,92.482
2blues,4jobs-1,sim2,1,T,0.000,0.267,4.753,45576,0.268
2blues,4jobs-1,sim2,1,b,0.000,0.113,0.591,2376,0.120
2blues,4jobs-1,sim2,1,g,0.000,0.318,4.753,21600,0.318
2blues,4jobs-1,sim2,1,k,0.001,0.234,2.167,21600,0.234
2blues,4jobs-1,sim2,2,T,0.386,60.941,397.768,45720,60.941
2blues,4jobs-1,sim2,2,b,0.386,154.618,397.768,2520,154.618
2blues,4jobs-1,sim2,2,g,1.528,59.798,226.737,21600,59.798
2blues,4jobs-1,sim2,2,k,5.044,51.156,189.525,21600,51.156
2blues,4jobs-1,sim2,3,T,0.000,13.338,104.403,45672,13.352
2blues,4jobs-1,sim2,3,b,0.000,5.405,24.604,2496,5.457
2blues,4jobs-1,sim2,3,g,0.000,15.785,104.403,21576,15.803
2blues,4jobs-1,sim2,3,k,0.098,11.817,69.131,21600,11.817
2blues,4jobs-1,sim2,4,T,0.000,36.732,438.681,45564,36.858
2blues,4jobs-1,sim2,4,b,0.000,133.933,438.681,2376,142.050
2blues,4jobs-1,sim2,4,g,0.000,32.849,113.173,21588,32.867
2blues,4jobs-1,sim2,4,k,4.980,29.276,91.346,21600,29.276
2blues,4jobs-1,sim3,0,T,1.642,53.478,338.917,45720,53.478
2blues,4jobs-1,sim3,0,b,1.642,147.385,338.917,2520,147.385
2blues,4jobs-1,sim3,0,g,3.681,51.806,134.082,21600,51.806
2blues,4jobs-1,sim3,0,k,10.788,44.195,99.025,21600,44.195
2blues,4jobs-1,sim3,1,T,0.000,13.864,71.929,45576,13.908
2blues,4jobs-1,sim3,1,b,0.000,5.431,25.388,2376,5.761
2blues,4jobs-1,sim3,1,g,0.024,16.034,71.929,21600,16.034
2blues,4jobs-1,sim3,1,k,0.053,12.679,60.836,21600,12.679
2blues,4jobs-1,sim3,2,T,0.873,37.506,327.286,45720,37.506
2blues,4jobs-1,sim3,2,b,0.873,140.538,327.286,2520,140.538
2blues,4jobs-1,sim3,2,g,1.217,33.297,117.416,21600,33.297
2blues,4jobs-1,sim3,2,k,5.518,29.695,90.178,21600,29.695
2blues,4jobs-1,sim3,3,T,0.000,1.838,16.294,45672,1.840
2blues,4jobs-1,sim3,3,b,0.000,1.332,12.652,2496,1.345
2blues,4jobs-1,sim3,3,g,0.000,2.154,16.294,21576,2.156
2blues,4jobs-1,sim3,3,k,0.004,1.581,9.309,21600,1.581
2blues,4jobs-1,sim3,4,T,0.000,0.270,5.698,45563,0.271
2blues,4jobs-1,sim3,4,b,0.000,0.083,1.291,2376,0.088
2blues,4jobs-1,sim3,4,g,0.000,0.321,5.698,21587,0.322
2blues,4jobs-1,sim3,4,k,0.000,0.240,1.761,21600,0.240
2blues,4jobs-1,sim4,0,T,15.719,111.639,416.740,45720,111.639
2blues,4jobs-1,sim4,0,b,16.205,287.207,416.740,2520,287.207
2blues,4jobs-1,sim4,0,g,15.719,109.685,237.884,21600,109.685
2blues,4jobs-1,sim4,0,k,22.475,93.111,195.656,21600,93.111
2blues,4jobs-1,sim4,1,T,0.000,59.168,375.531,45576,59.355
2blues,4jobs-1,sim4,1,b,0.000,144.517,375.531,2376,153.276
2blues,4jobs-1,sim4,1,g,0.742,58.471,219.870,21600,58.471
2blues,4jobs-1,sim4,1,k,4.323,49.908,178.481,21600,49.908
2blues,4jobs-1,sim4,2,T,0.052,2.087,26.268,45720,2.087
