config,dataset,sim,jobid,color,min,avg,max,nonzero,nzavg
2blues,4jobs-1,sim4,2,b,0.058,2.835,13.456,2520,2.835
2blues,4jobs-1,sim4,2,g,0.052,2.292,26.268,21600,2.292
2blues,4jobs-1,sim4,2,k,0.068,1.794,14.033,21600,1.794
2blues,4jobs-1,sim4,3,T,0.000,37.008,414.540,45672,37.047
2blues,4jobs-1,sim4,3,b,0.000,134.958,414.540,2496,136.256
2blues,4jobs-1,sim4,3,g,0.000,33.096,112.539,21576,33.133
2blues,4jobs-1,sim4,3,k,4.906,29.492,92.300,21600,29.492
2blues,4jobs-1,sim4,4,T,0.000,13.377,97.490,45564,13.422
2blues,4jobs-1,sim4,4,b,0.000,4.897,32.218,2376,5.194
2blues,4jobs-1,sim4,4,g,0.000,15.826,97.490,21588,15.835
2blues,4jobs-1,sim4,4,k,0.073,11.916,69.554,21600,11.916
2blues,4jobs-2,sim1,0,T,7.325,83.087,417.648,45720,83.087
2blues,4jobs-2,sim1,0,b,8.401,224.564,417.648,2520,224.564
2blues,4jobs-2,sim1,0,g,7.325,80.547,239.625,21600,80.547
2blues,4jobs-2,sim1,0,k,13.476,69.121,196.030,21600,69.121
2blues,4jobs-2,sim1,1,T,0.000,18.327,205.541,45540,18.400
2blues,4jobs-2,sim1,1,b,0.000,67.042,205.541,2376,71.106
2blues,4jobs-2,sim1,1,g,0.000,16.371,106.376,21564,16.398
2blues,4jobs-2,sim1,1,k,1.214,14.601,77.371,21600,14.601
2blues,4jobs-2,sim1,2,T,0.000,0.134,3.771,45631,0.134
2blues,4jobs-2,sim1,2,b,0.000,0.108,0.641,2448,0.111
2blues,4jobs-2,sim1,2,g,0.000,0.157,3.771,21583,0.157
2blues,4jobs-2,sim1,2,k,0.000,0.115,1.792,21600,0.115
2blues,4jobs-2,sim1,3,T,0.000,60.447,349.978,45696,60.478
2blues,4jobs-2,sim1,3,b,0.000,152.873,349.978,2496,154.343
2blues,4jobs-2,sim1,3,g,2.312,59.416,237.815,21600,59.416
2blues,4jobs-2,sim1,3,k,7.180,50.694,191.531,21600,50.694
2blues,4jobs-2,sim1,4,T,0.015,4.178,18.747,45720,4.178
2blues,4jobs-2,sim1,4,b,0.028,4.541,18.747,2520,4.541
2blues,4jobs-2,sim1,4,g,0.015,4.603,16.298,21600,4.603
2blues,4jobs-2,sim1,4,k,0.024,3.711,11.804,21600,3.711
2blues,4jobs-2,sim10,0,T,9.147,77.493,308.999,45720,77.493
2blues,4jobs-2,sim10,0,b,9.147,152.155,308.999,2520,152.155
2blues,4jobs-2,sim10,0,g,9.493,80.727,213.326,21600,80.727
2blues,4jobs-2,sim10,0,k,10.572,65.548,169.540,21600,65.548
2blues,4jobs-2,sim10,1,T,0.000,18.080,232.465,45540,18.151
2blues,4jobs-2,sim10,1,b,0.000,65.823,232.465,2376,69.812
2blues,4jobs-2,sim10,1,g,0.000,16.171,107.352,21564,16.198
2blues,4jobs-2,sim10,1,k,1.189,14.419,76.545,21600,14.419
2blues,4jobs-2,sim10,2,T,0.000,29.704,239.000,45636,29.759
2blues,4jobs-2,sim10,2,b,0.000,73.932,239.000,2448,76.106
2blues,4jobs-2,sim10,2,g,0.000,29.044,205.131,21588,29.061
2blues,4jobs-2,sim10,2,k,1.535,25.204,164.118,21600,25.204
2blues,4jobs-2,sim10,3,T,0.000,2.025,21.423,45696,2.026
2blues,4jobs-2,sim10,3,b,0.000,2.564,14.932,2496,2.588
2blues,4jobs-2,sim10,3,g,0.015,2.247,21.423,21600,2.247
2blues,4jobs-2,sim10,3,k,0.065,1.741,11.200,21600,1.741
2blues,4jobs-2,sim10,4,T,0.176,27.684,92.532,45720,27.684
2blues,4jobs-2,sim10,4,b,2.170,9.837,45.876,2520,9.837
2blues,4jobs-2,sim10,4,g,0.176,33.266,92.532,21600,33.266
2blues,4jobs-2,sim10,4,k,0.189,24.184,72.929,21600,24.184
2blues,4jobs-2,sim11,0,T,0.983,62.467,299.430,45720,62.467
2blues,4jobs-2,sim11,0,b,0.983,147.329,299.430,2520,147.329
2blues,4jobs-2,sim11,0,g,5.708,62.118,206.501,21600,62.118
2blues,4jobs-2,sim11,0,k,9.445,52.915,162.241,21600,52.915
2blues,4jobs-2,sim11,1,T,0.000,18.181,227.330,45540,18.253
2blues,4jobs-2,sim11,1,b,0.000,66.508,227.330,2376,70.539
2blues,4jobs-2,sim11,1,g,0.000,16.233,115.203,21564,16.260
2blues,4jobs-2,sim11,1,k,1.151,14.491,80.252,21600,14.491
2blues,4jobs-2,sim11,2,T,0.000,29.872,238.377,45636,29.927
2blues,4jobs-2,sim11,2,b,0.000,74.324,238.377,2448,76.510
2blues,4jobs-2,sim11,2,g,0.000,29.180,192.106,21588,29.196
2blues,4jobs-2,sim11,2,k,1.132,25.377,157.886,21600,25.377
2blues,4jobs-2,sim11,3,T,0.000,13.861,83.266,45696,13.869
2blues,4jobs-2,sim11,3,b,0.000,6.248,26.204,2496,6.308
2blues,4jobs-2,sim11,3,g,0.025,16.057,83.266,21600,16.057
2blues,4jobs-2,sim11,3,k,0.202,12.554,66.332,21600,12.554
2blues,4jobs-2,sim11,4,T,0.000,0.553,4.326,45720,0.553
2blues,4jobs-2,sim11,4,b,0.001,0.248,1.496,2520,0.248
2blues,4jobs-2,sim11,4,g,0.000,0.649,4.326,21600,0.649
2blues,4jobs-2,sim11,4,k,0.000,0.493,1.879,21600,0.493
2blues,4jobs-2,sim12,0,T,8.112,65.938,303.342,45720,65.938
2blues,4jobs-2,sim12,0,b,9.155,151.387,303.342,2520,151.387
2blues,4jobs-2,sim12,0,g,8.112,65.944,208.823,21600,65.944
2blues,4jobs-2,sim12,0,k,11.939,55.962,164.678,21600,55.962
2blues,4jobs-2,sim12,1,T,0.000,18.137,229.785,45540,18.209
2blues,4jobs-2,sim12,1,b,0.000,66.318,229.785,2376,70.337
2blues,4jobs-2,sim12,1,g,0.000,16.202,116.190,21564,16.229
2blues,4jobs-2,sim12,1,k,1.137,14.451,79.674,21600,14.451
2blues,4jobs-2,sim12,2,T,0.000,29.836,237.824,45636,29.891
2blues,4jobs-2,sim12,2,b,0.000,74.264,237.824,2448,76.448
2blues,4jobs-2,sim12,2,g,0.000,29.155,193.456,21588,29.171
2blues,4jobs-2,sim12,2,k,1.545,25.335,159.716,21600,25.335
2blues,4jobs-2,sim12,3,T,0.000,13.834,84.171,45696,13.841
2blues,4jobs-2,sim12,3,b,0.000,6.245,28.451,2496,6.305
2blues,4jobs-2,sim12,3,g,0.032,16.038,84.171,21600,16.038
2blues,4jobs-2,sim12,3,k,0.232,12.515,66.378,21600,12.515
2blues,4jobs-2,sim12,4,T,0.015,4.130,23.079,45720,4.130
2blues,4jobs-2,sim12,4,b,0.126,4.561,23.079,2520,4.561
2blues,4jobs-2,sim12,4,g,0.015,4.550,19.283,21600,4.550
2blues,4jobs-2,sim12,4,k,0.041,3.661,12.647,21600,3.661
2blues,4jobs-2,sim13,0,T,19.487,126.991,377.091,45720,126.991
2blues,4jobs-2,sim13,0,b,120.210,299.723,377.091,2520,299.723
2blues,4jobs-2,sim13,0,g,19.487,126.906,270.549,21600,126.906
2blues,4jobs-2,sim13,0,k,24.005,106.925,213.884,21600,106.925
2blues,4jobs-2,sim13,1,T,0.000,17.113,311.342,45540,17.181
2blues,4jobs-2,sim13,1,b,0.000,61.736,311.342,2376,65.478
2blues,4jobs-2,sim13,1,g,0.000,15.352,114.385,21564,15.377
2blues,4jobs-2,sim13,1,k,1.694,13.669,77.845,21600,13.669
2blues,4jobs-2,sim13,2,T,0.000,0.488,9.222,45636,0.489
2blues,4jobs-2,sim13,2,b,0.000,0.540,5.064,2448,0.555
2blues,4jobs-2,sim13,2,g,0.000,0.542,9.222,21588,0.542
2blues,4jobs-2,sim13,2,k,0.013,0.428,4.683,21600,0.428
2blues,4jobs-2,sim13,3,T,0.000,0.264,6.666,45696,0.264
2blues,4jobs-2,sim13,3,b,0.000,0.123,0.781,2496,0.124
2blues,4jobs-2,sim13,3,g,0.001,0.314,6.666,21600,0.314
2blues,4jobs-2,sim13,3,k,0.002,0.231,1.555,21600,0.231
2blues,4jobs-2,sim13,4,T,8.185,109.126,375.576,45720,109.126
2blues,4jobs-2,sim13,4,b,8.185,237.324,375.576,2520,237.324
2blues,4jobs-2,sim13,4,g,15.043,110.698,265.555,21600,110.698
2blues,4jobs-2,sim13,4,k,18.652,92.598,209.102,21600,92.598
2blues,4jobs-2,sim14,0,T,1.649,46.890,208.153,45720,46.890
2blues,4jobs-2,sim14,0,b,6.681,76.805,208.153,2520,76.805
2blues,4jobs-2,sim14,0,g,1.649,50.594,100.786,21600,50.594
2blues,4jobs-2,sim14,0,k,3.083,39.696,76.647,21600,39.696
2blues,4jobs-2,sim14,1,T,0.000,18.337,201.585,45540,18.410
2blues,4jobs-2,sim14,1,b,0.000,66.717,201.585,2376,70.760
2blues,4jobs-2,sim14,1,g,0.000,16.404,98.821,21564,16.431
2blues,4jobs-2,sim14,1,k,1.294,14.627,74.203,21600,14.627
2blues,4jobs-2,sim14,2,T,0.000,0.478,13.748,45636,0.479
2blues,4jobs-2,sim14,2,b,0.000,0.502,7.104,2448,0.517
2blues,4jobs-2,sim14,2,g,0.000,0.533,13.748,21588,0.533
2blues,4jobs-2,sim14,2,k,0.003,0.420,5.049,21600,0.420
2blues,4jobs-2,sim14,3,T,0.000,0.262,5.550,45696,0.262
2blues,4jobs-2,sim14,3,b,0.000,0.110,2.376,2496,0.111
2blues,4jobs-2,sim14,3,g,0.000,0.312,5.550,21600,0.312
2blues,4jobs-2,sim14,3,k,0.001,0.229,1.539,21600,0.229
2blues,4jobs-2,sim14,4,T,0.202,27.813,78.409,45720,27.813
2blues,4jobs-2,sim14,4,b,2.092,9.476,44.497,2520,9.476
2blues,4jobs-2,sim14,4,g,0.206,33.346,78.409,21600,33.346
2blues,4jobs-2,sim14,4,k,0.202,24.420,72.504,21600,24.420
2blues,4jobs-2,sim15,0,T,0.966,79.906,414.017,45720,79.906
2blues,4jobs-2,sim15,0,b,0.966,220.988,414.017,2520,220.988
2blues,4jobs-2,sim15,0,g,5.486,77.051,240.653,21600,77.051
2blues,4jobs-2,sim15,0,k,12.152,66.302,195.570,21600,66.302
2blues,4jobs-2,sim15,1,T,0.000,18.354,203.362,45540,18.426
2blues,4jobs-2,sim15,1,b,0.000,67.169,203.362,2376,71.240
2blues,4jobs-2,sim15,1,g,0.000,16.391,105.002,21564,16.418
2blues,4jobs-2,sim15,1,k,1.282,14.621,77.069,21600,14.621
2blues,4jobs-2,sim15,2,T,0.000,0.497,8.070,45636,0.498
2blues,4jobs-2,sim15,2,b,0.000,0.554,2.761,2448,0.570
2blues,4jobs-2,sim15,2,g,0.000,0.548,8.070,21588,0.548
2blues,4jobs-2,sim15,2,k,0.001,0.439,6.030,21600,0.439
2blues,4jobs-2,sim15,3,T,0.000,60.504,346.026,45696,60.535
2blues,4jobs-2,sim15,3,b,0.000,153.025,346.026,2496,154.496
2blues,4jobs-2,sim15,3,g,2.293,59.463,239.081,21600,59.463
2blues,4jobs-2,sim15,3,k,7.398,50.750,191.406,21600,50.750
2blues,4jobs-2,sim15,4,T,0.000,0.552,2.448,45720,0.552
2blues,4jobs-2,sim15,4,b,0.000,0.240,1.506,2520,0.240
2blues,4jobs-2,sim15,4,g,0.000,0.650,2.448,21600,0.650
2blues,4jobs-2,sim15,4,k,0.000,0.491,1.647,21600,0.491
2blues,4jobs-2,sim16,0,T,9.868,106.741,426.487,45720,106.741
2blues,4jobs-2,sim16,0,b,9.868,228.668,426.487,2520,228.668
2blues,4jobs-2,sim16,0,g,14.852,109.391,244.680,21600,109.391
2blues,4jobs-2,sim16,0,k,22.375,89.866,196.892,21600,89.866
2blues,4jobs-2,sim16,1,T,0.000,18.262,206.881,45540,18.334
2blues,4jobs-2,sim16,1,b,0.000,66.825,206.881,2376,70.875
2blues,4jobs-2,sim16,1,g,0.000,16.307,108.337,21564,16.334
2blues,4jobs-2,sim16,1,k,1.317,14.552,77.672,21600,14.552
2blues,4jobs-2,sim16,2,T,0.000,0.451,11.263,45636,0.452
2blues,4jobs-2,sim16,2,b,0.000,0.519,6.090,2448,0.534
2blues,4jobs-2,sim16,2,g,0.000,0.510,11.263,21588,0.510
2blues,4jobs-2,sim16,2,k,0.004,0.384,6.154,21600,0.384
2blues,4jobs-2,sim16,3,T,0.000,60.240,360.915,45696,60.272
2blues,4jobs-2,sim16,3,b,0.000,151.996,360.915,2496,153.458
2blues,4jobs-2,sim16,3,g,2.337,59.231,242.601,21600,59.231
2blues,4jobs-2,sim16,3,k,6.988,50.545,189.594,21600,50.545
2blues,4jobs-2,sim16,4,T,0.097,27.788,93.886,45720,27.788
2blues,4jobs-2,sim16,4,b,0.358,9.328,46.427,2520,9.328
2blues,4jobs-2,sim16,4,g,0.097,33.344,93.886,21600,33.344
2blues,4jobs-2,sim16,4,k,0.157,24.385,73.394,21600,24.385
2blues,4jobs-2,sim17,0,T,0.713,33.283,203.085,45720,33.283
2blues,4jobs-2,sim17,0,b,0.713,74.078,203.085,2520,74.078
2blues,4jobs-2,sim17,0,g,1.496,33.653,114.444,21600,33.653
2blues,4jobs-2,sim17,0,k,4.553,28.155,89.360,21600,28.155
2blues,4jobs-2,sim17,1,T,0.000,18.443,195.283,45540,18.516
2blues,4jobs-2,sim17,1,b,0.000,67.420,195.283,2376,71.506
2blues,4jobs-2,sim17,1,g,0.000,16.464,104.893,21564,16.491
2blues,4jobs-2,sim17,1,k,1.459,14.708,75.805,21600,14.708
2blues,4jobs-2,sim17,2,T,0.000,0.492,8.603,45636,0.493
2blues,4jobs-2,sim17,2,b,0.000,0.543,2.443,2448,0.559
2blues,4jobs-2,sim17,2,g,0.000,0.543,8.603,21588,0.543
2blues,4jobs-2,sim17,2,k,0.001,0.435,6.119,21600,0.435
2blues,4jobs-2,sim17,3,T,0.000,13.795,85.896,45696,13.802
2blues,4jobs-2,sim17,3,b,0.000,5.877,26.979,2496,5.933
2blues,4jobs-2,sim17,3,g,0.171,15.996,85.896,21600,15.996
2blues,4jobs-2,sim17,3,k,0.299,12.517,66.329,21600,12.517
2blues,4jobs-2,sim17,4,T,0.000,0.554,2.646,45720,0.554
2blues,4jobs-2,sim17,4,b,0.001,0.239,1.569,2520,0.239
2blues,4jobs-2,sim17,4,g,0.000,0.650,2.646,21600,0.650
2blues,4jobs-2,sim17,4,k,0.000,0.495,1.622,21600,0.495
2blues,4jobs-2,sim18,0,T,27.636,140.331,386.806,45720,140.331
2blues,4jobs-2,sim18,0,b,132.481,305.249,386.806,2520,305.249
2blues,4jobs-2,sim18,0,g,27.636,142.395,271.597,21600,142.395
2blues,4jobs-2,sim18,0,k,28.721,119.027,215.541,21600,119.027
2blues,4jobs-2,sim18,1,T,0.000,17.029,308.376,45540,17.096
2blues,4jobs-2,sim18,1,b,0.000,61.785,308.376,2376,65.530
2blues,4jobs-2,sim18,1,g,0.000,15.235,121.096,21564,15.261
2blues,4jobs-2,sim18,1,k,1.677,13.601,80.909,21600,13.601
2blues,4jobs-2,sim18,2,T,0.000,0.452,10.419,45636,0.453
2blues,4jobs-2,sim18,2,b,0.000,0.541,4.230,2448,0.557
2blues,4jobs-2,sim18,2,g,0.000,0.509,10.419,21588,0.510
2blues,4jobs-2,sim18,2,k,0.012,0.384,6.311,21600,0.384
2blues,4jobs-2,sim18,3,T,0.000,13.917,107.227,45696,13.924
2blues,4jobs-2,sim18,3,b,0.000,6.074,30.254,2496,6.132
2blues,4jobs-2,sim18,3,g,0.078,16.084,107.227,21600,16.084
2blues,4jobs-2,sim18,3,k,0.202,12.666,68.517,21600,12.666
2blues,4jobs-2,sim18,4,T,7.614,108.933,377.864,45720,108.933
2blues,4jobs-2,sim18,4,b,7.614,236.850,377.864,2520,236.850
2blues,4jobs-2,sim18,4,g,13.839,110.567,266.180,21600,110.567
2blues,4jobs-2,sim18,4,k,18.309,92.377,209.661,21600,92.377
2blues,4jobs-2,sim19,0,T,29.930,133.636,383.599,45720,133.636
2blues,4jobs-2,sim19,0,b,123.459,304.422,383.599,2520,304.422
2blues,4jobs-2,sim19,0,g,31.578,134.393,272.524,21600,134.393
2blues,4jobs-2,sim19,0,k,29.930,112.954,215.018,21600,112.954
2blues,4jobs-2,sim19,1,T,0.000,17.107,308.182,45540,17.174
2blues,4jobs-2,sim19,1,b,0.000,61.800,308.182,2376,65.546
2blues,4jobs-2,sim19,1,g,0.000,15.330,113.001,21564,15.356
2blues,4jobs-2,sim19,1,k,1.810,13.669,77.396,21600,13.669
2blues,4jobs-2,sim19,2,T,0.000,7.338,100.662,45636,7.351
2blues,4jobs-2,sim19,2,b,0.000,5.331,21.696,2448,5.488
2blues,4jobs-2,sim19,2,g,0.000,8.241,100.662,21588,8.245
2blues,4jobs-2,sim19,2,k,0.106,6.669,58.197,21600,6.669
2blues,4jobs-2,sim19,3,T,0.000,0.255,6.411,45696,0.255
2blues,4jobs-2,sim19,3,b,0.000,0.124,0.790,2496,0.125
2blues,4jobs-2,sim19,3,g,0.001,0.306,6.411,21600,0.306
2blues,4jobs-2,sim19,3,k,0.001,0.219,1.857,21600,0.219
2blues,4jobs-2,sim19,4,T,8.330,108.937,375.526,45720,108.937
2blues,4jobs-2,sim19,4,b,8.330,237.168,375.526,2520,237.168
2blues,4jobs-2,sim19,4,g,13.850,110.516,267.714,21600,110.516
2blues,4jobs-2,sim19,4,k,18.440,92.397,208.792,21600,92.397
2blues,4jobs-2,sim2,0,T,9.787,106.443,426.491,45720,106.443
2blues,4jobs-2,sim2,0,b,9.787,228.249,426.491,2520,228.249
2blues,4jobs-2,sim2,0,g,11.805,109.051,244.262,21600,109.051
2blues,4jobs-2,sim2,0,k,19.419,89.624,195.641,21600,89.624
2blues,4jobs-2,sim2,1,T,0.000,18.269,206.956,45540,18.341
2blues,4jobs-2,sim2,1,b,0.000,66.830,206.956,2376,70.880
2blues,4jobs-2,sim2,1,g,0.000,16.314,108.197,21564,16.341
2blues,4jobs-2,sim2,1,k,1.332,14.559,77.139,21600,14.559
2blues,4jobs-2,sim2,2,T,0.000,0.129,3.903,45632,0.129
2blues,4jobs-2,sim2,2,b,0.000,0.102,0.681,2448,0.105
2blues,4jobs-2,sim2,2,g,0.000,0.152,3.903,21584,0.152
2blues,4jobs-2,sim2,2,k,0.000,0.109,1.970,21600,0.109
2blues,4jobs-2,sim2,3,T,0.000,60.243,360.908,45696,60.274
2blues,4jobs-2,sim2,3,b,0.000,151.997,360.908,2496,153.458
2blues,4jobs-2,sim2,3,g,2.379,59.234,242.165,21600,59.234
2blues,4jobs-2,sim2,3,k,6.814,50.547,188.919,21600,50.547
2blues,4jobs-2,sim2,4,T,0.090,27.802,93.352,45720,27.802
2blues,4jobs-2,sim2,4,b,0.360,9.321,46.066,2520,9.321
2blues,4jobs-2,sim2,4,g,0.090,33.351,93.352,21600,33.351
2blues,4jobs-2,sim2,4,k,0.154,24.410,73.313,21600,24.410
2blues,4jobs-2,sim20,0,T,1.748,30.331,205.963,45720,30.331
2blues,4jobs-2,sim20,0,b,6.154,77.057,205.963,2520,77.057
2blues,4jobs-2,sim20,0,g,1.748,29.727,99.181,21600,29.727
2blues,4jobs-2,sim20,0,k,3.031,25.484,75.977,21600,25.484
2blues,4jobs-2,sim20,1,T,0.000,18.481,198.515,45540,18.554
2blues,4jobs-2,sim20,1,b,0.000,67.283,198.515,2376,71.361
2blues,4jobs-2,sim20,1,g,0.000,16.537,98.441,21564,16.564
2blues,4jobs-2,sim20,1,k,1.424,14.732,74.138,21600,14.732
2blues,4jobs-2,sim20,2,T,0.000,7.444,70.583,45636,7.458
2blues,4jobs-2,sim20,2,b,0.000,5.217,24.945,2448,5.371
2blues,4jobs-2,sim20,2,g,0.000,8.315,70.583,21588,8.319
2blues,4jobs-2,sim20,2,k,0.045,6.833,48.210,21600,6.833
2blues,4jobs-2,sim20,3,T,0.000,0.261,4.336,45696,0.262
2blues,4jobs-2,sim20,3,b,0.000,0.122,1.094,2496,0.123
2blues,4jobs-2,sim20,3,g,0.001,0.312,4.336,21600,0.312
2blues,4jobs-2,sim20,3,k,0.003,0.228,1.871,21600,0.228
2blues,4jobs-2,sim20,4,T,0.025,4.145,18.602,45720,4.145
2blues,4jobs-2,sim20,4,b,0.241,4.435,18.602,2520,4.435
2blues,4jobs-2,sim20,4,g,0.025,4.564,16.410,21600,4.564
2blues,4jobs-2,sim20,4,k,0.032,3.691,11.848,21600,3.691
2blues,4jobs-2,sim21,0,T,1.019,86.725,420.581,45720,86.725
2blues,4jobs-2,sim21,0,b,1.019,225.648,420.581,2520,225.648
2blues,4jobs-2,sim21,0,g,5.817,84.680,240.307,21600,84.680
2blues,4jobs-2,sim21,0,k,13.529,72.562,196.732,21600,72.562
2blues,4jobs-2,sim21,1,T,0.000,18.305,205.793,45540,18.377
2blues,4jobs-2,sim21,1,b,0.000,67.111,205.793,2376,71.178
2blues,4jobs-2,sim21,1,g,0.000,16.342,105.789,21564,16.369
2blues,4jobs-2,sim21,1,k,1.313,14.574,78.407,21600,14.574
2blues,4jobs-2,sim21,2,T,0.000,7.411,86.717,45636,7.425
2blues,4jobs-2,sim21,2,b,0.000,5.248,21.125,2448,5.403
2blues,4jobs-2,sim21,2,g,0.000,8.277,86.717,21588,8.282
2blues,4jobs-2,sim21,2,k,0.020,6.797,53.749,21600,6.797
2blues,4jobs-2,sim21,3,T,0.000,60.460,348.723,45696,60.492
2blues,4jobs-2,sim21,3,b,0.000,153.044,348.723,2496,154.516
2blues,4jobs-2,sim21,3,g,2.206,59.415,238.534,21600,59.415
2blues,4jobs-2,sim21,3,k,6.779,50.703,192.294,21600,50.703
2blues,4jobs-2,sim21,4,T,0.000,0.550,4.761,45720,0.550
2blues,4jobs-2,sim21,4,b,0.000,0.244,1.448,2520,0.244
2blues,4jobs-2,sim21,4,g,0.000,0.646,4.761,21600,0.646
2blues,4jobs-2,sim21,4,k,0.000,0.488,1.988,21600,0.488
2blues,4jobs-2,sim22,0,T,9.933,90.183,424.543,45720,90.183
2blues,4jobs-2,sim22,0,b,9.933,229.697,424.543,2520,229.697
2blues,4jobs-2,sim22,0,g,12.343,88.501,241.312,21600,88.501
2blues,4jobs-2,sim22,0,k,17.757,75.589,195.536,21600,75.589
2blues,4jobs-2,sim22,1,T,0.000,18.276,208.283,45540,18.348
2blues,4jobs-2,sim22,1,b,0.000,66.995,208.283,2376,71.056
