sg,sr,sc,dg,dr,dc,color,flits,stalls,stalls/flit,flits_vc_0,flits_vc_1,flits_vc_2,flits_vc_3,flits_vc_4,flits_vc_5,flits_vc_6,flits_vc_7,stalls_vc_0,stalls_vc_1,stalls_vc_2,stalls_vc_3,stalls_vc_4,stalls_vc_5,stalls_vc_6,stalls_vc_7,stalls/flit_0,stalls/flit_1,stalls/flit_2,stalls/flit_3,stalls/flit_4,stalls/flit_5,stalls/flit_6,stalls/flit_7
5,3,4,5,3,1,g,473764530,1033014094,2.180437809474677,28072855,38597698,59488770,3599639,78769974,105755819,141599875,17879900,264831937,542287856,215451447,4971796,26760,145518,4725310,573470,9.433737216966355,14.049746075530203,3.621716283594366,1.3811929474038924,0.00033972335702434027,0.0013759810228503833,0.033370862792075205,0.03207344560092618
5,3,4,2,3,8,b,281112372,3338109552,11.874644748826636,78903983,58830989,13537087,0,9294784,56281703,64263826,0,243649945,2987076231,106725636,0,6158,357644,293938,0,3.0879296042634503,50.77385714185427,7.883944012474767,0,0.0006625221199330722,0.006354534083661257,0.004573926239623517,0
5,3,4,2,3,8,b,351453867,3358957688,9.557321752274246,86961854,79747640,17550129,0,11877105,76104165,79212974,0,246699826,3005667921,105816689,0,7654,455072,310526,0,2.8368740390470517,37.689741301435376,6.029396650018926,0,0.0006444331341686379,0.005979593889506573,0.003920140657766491,0
5,3,4,11,3,10,b,348578215,3212524540,9.21607949596047,57231001,74797836,13152430,0,46606295,85458904,71331749,0,206399970,2913119390,91989722,0,48264,591089,376105,0,3.606436483611391,38.946573133479426,6.994123671443224,0,0.0010355682639008315,0.006916646157783629,0.005272617106304235,0
5,3,4,5,2,4,k,408464129,2680239105,6.561749036718963,24357406,43773703,45855939,1273197,50707616,95227226,130194902,17074140,469044396,2153790273,51850675,83171,14796,591439,4133095,731260,19.25674663385748,49.20283470192138,1.1307297621797692,0.06532453343826604,0.00029179048764587946,0.006210818322062642,0.031745444226379926,0.04282851142136588
5,3,4,5,3,6,g,505275275,1394239601,2.759366369153923,12573442,78624959,54725505,3288607,32082028,184527015,122607366,16846353,139419294,904317217,335384141,5342979,48302,418139,8308610,1000919,11.088395206340476,11.501655816443732,6.128479600142566,1.6246936772925435,0.0015055781386388667,0.0022660042487545793,0.06776599376582318,0.05941458071073306
5,3,4,5,3,2,g,529789113,1501076928,2.833348008040324,26573604,114016181,58044295,2949843,71515441,104966616,135282599,16440534,300641425,831624137,352692214,5506594,51013,900916,8863638,796991,11.313535981043444,7.293913282361212,6.076259759895438,1.866741382507476,0.0007133144854689493,0.008582881246738486,0.06551942426830519,0.04847719666526647
5,3,4,11,3,10,b,321389738,2892129706,8.998824057039432,52670869,72034067,13241532,0,44065332,71524883,67853055,0,166463650,2688933152,35986515,0,6568,459237,280584,0,3.1604500392807267,37.32863163203044,2.7177002630813414,0,0.0001490514130246426,0.006420660625198087,0.004135171216682875,0
5,3,4,5,2,4,k,370920473,2606165834,7.026211880194599,22019949,41162416,40884559,1147544,46263944,85745624,117590671,16105766,510544578,1969008616,111127354,139628,35444,984743,12273200,2052271,23.185547704947002,47.835108026700865,2.718076376951993,0.12167550873866274,0.0007661257760471092,0.011484469458173165,0.10437222524225583,0.12742461302368358
5,3,4,5,2,4,k,385839197,2599993171,6.738540799420127,24186638,41906650,40621769,1207078,51701506,89867041,119849352,16499163,513100695,1959310566,110555375,138561,109463,1072786,13487039,2218686,21.214221463933928,46.754168276395276,2.7215795304237,0.1147904277933986,0.00211721105377472,0.011937479948850213,0.11253326592871357,0.13447263961208214
