sg,sr,sc,dg,dr,dc,color,flits,stalls,stalls/flit,flits_vc_0,flits_vc_1,flits_vc_2,flits_vc_3,flits_vc_4,flits_vc_5,flits_vc_6,flits_vc_7,stalls_vc_0,stalls_vc_1,stalls_vc_2,stalls_vc_3,stalls_vc_4,stalls_vc_5,stalls_vc_6,stalls_vc_7,stalls/flit_0,stalls/flit_1,stalls/flit_2,stalls/flit_3,stalls/flit_4,stalls/flit_5,stalls/flit_6,stalls/flit_7
1,3,4,1,3,1,g,715437,56158500,78.49538114467101,193496,52320,118120,19005,478,4798,147305,179915,3,56106013,438,482,0,0,2817,48747,1.5504196469177657e-05,1072.3626337920489,0.00370809346427362,0.025361746908708235,0.0,0.0,0.01912358711516921,0.27094461273379095
1,3,4,3,3,2,b,947721,58447705,61.6718475163049,217205,152933,96017,0,177001,68129,236436,0,9580509,45507684,3346825,0,65,2456,10166,0,44.10814207776064,297.56614988262834,34.85658789589343,0,0.0003672295636747815,0.0360492594930206,0.042996836353178025,0
1,3,4,3,3,2,b,984659,54849014,55.703562350011524,225717,175091,101749,0,184817,58693,238592,0,10159173,41371894,3312094,0,97,76,5680,0,45.008453062906206,236.28795312151968,32.551612300858,0,0.0005248434938344416,0.0012948733239057468,0.023806330472103003,0
1,3,4,11,3,2,b,759592,60036842,79.03827581122498,64021,155328,76944,0,213307,40994,208998,0,6773044,49973383,3284290,0,184,68,5873,0,105.79409881132753,321.72810439843425,42.68415990850489,0,0.0008626064779871266,0.0016587793335610089,0.02810074737557297,0
1,3,4,1,2,4,k,243204,60323334,248.03594513248137,27726,37211,61671,4419,14714,39922,45320,12221,0,60321635,245,0,0,122,725,607,0.0,1621.0699793071942,0.003972693810705193,0.0,0.0,0.003055959120284555,0.015997352162400707,0.04966860322395876
1,3,4,1,3,6,g,542328,7291705,13.445193683527313,6144,45376,140256,15530,18790,108911,141420,65901,0,7265921,1149,18,2,60,3773,20782,0.0,160.12696138928067,0.008192162902121835,0.001159047005795235,0.00010643959552953698,0.0005509085400005509,0.026679394710790554,0.31535181560219117
1,3,4,1,3,2,g,632073,6510563,10.30033398041049,30567,88342,98732,14564,54826,117642,121039,106361,0,6473939,394,7,7,19,5348,30849,0.0,73.28268547236875,0.00399060081837702,0.00048063718758582807,0.00012767664976471018,0.00016150694479862633,0.04418410594932212,0.290040522371922
1,3,4,11,3,2,b,919648,57132425,62.12423122760013,73654,201147,95971,0,257330,51942,239604,0,7986036,48059035,1080683,0,81,100,6490,0,108.42637195535885,238.92494046642506,11.260516197601358,0,0.0003147709167217192,0.0019252242886296253,0.02708635915927948,0
1,3,4,1,2,4,k,352900,58617325,166.10179937659393,51449,60926,85813,6636,14922,56041,62112,15001,7,58605901,1412,0,8,334,5321,4342,0.0001360570662209178,961.9193940189739,0.016454383368487292,0.0,0.0005361211633829246,0.005959922199817991,0.08566782586295724,0.2894473701753216
1,3,4,1,2,4,k,404904,56972466,140.70610811451604,55515,69675,94018,7737,21499,66633,72903,16924,7,56955471,4111,208,13,435,7903,4318,0.00012609204719445194,817.4448654467169,0.04372566955263885,0.02688380509241308,0.0006046792874087167,0.006528296789878889,0.10840431806647188,0.2551406286929804
