run,timestep,color,group,dest,counter,measure,value
staci,45449,k,15,C09,stalls,min,339995.0
staci,45449,k,15,C09,stalls,max,2532584.0
staci,45449,k,15,C09,stalls,avg,1160326.6333333333
staci,45449,k,15,C09,spf,min,0.3353724301530719
staci,45449,k,15,C09,spf,max,5.181116517370334
staci,45449,k,15,C09,spf,avg,1.8009026634389012
staci,45449,k,10,C12,flits,min,286104.0
staci,45449,k,10,C12,flits,max,819755.0
staci,45449,k,10,C12,flits,avg,528472.9555555555
staci,45449,k,10,C12,stalls,min,1782079.0
staci,45449,k,10,C12,stalls,max,26568077.0
staci,45449,k,10,C12,stalls,avg,11530905.888888888
staci,45449,k,10,C12,spf,min,2.810085346365793
staci,45449,k,10,C12,spf,max,74.12480186533735
staci,45449,k,10,C12,spf,avg,24.556323356517375
staci,45449,k,10,C00,flits,min,253385.0
staci,45449,k,10,C00,flits,max,728013.0
staci,45449,k,10,C00,flits,avg,444151.8333333333
staci,45449,k,10,C00,stalls,min,6788659.0
staci,45449,k,10,C00,stalls,max,16988741.0
staci,45449,k,10,C00,stalls,avg,11671270.6
staci,45449,k,10,C00,spf,min,13.259583276672258
staci,45449,k,10,C00,spf,max,43.30584510934804
staci,45449,k,10,C00,spf,avg,27.373757297737306
staci,45449,k,09,C12,flits,min,138206.0
staci,45449,k,09,C12,flits,max,1206370.0
staci,45449,k,09,C12,flits,avg,509832.86666666664
staci,45449,k,09,C12,stalls,min,2065564.0
staci,45449,k,09,C12,stalls,max,4904381.0
staci,45449,k,09,C12,stalls,avg,3803009.8666666667
staci,45449,k,09,C12,spf,min,3.9024097084642357
staci,45449,k,09,C12,spf,max,23.922072847777955
staci,45449,k,09,C12,spf,avg,9.764861795787189
staci,45449,b,06,G02,flits,min,4526297.0
staci,45449,b,06,G02,flits,max,4526297.0
staci,45449,b,06,G02,flits,avg,4526297.0
staci,45449,b,06,G02,stalls,min,1213746.0
staci,45449,b,06,G02,stalls,max,1213746.0
staci,45449,b,06,G02,stalls,avg,1213746.0
staci,45449,b,06,G02,spf,min,0.26815429919866063
staci,45449,b,06,G02,spf,max,0.26815429919866063
staci,45449,b,06,G02,spf,avg,0.26815429919866063
staci,45449,k,05,C07,flits,min,189151.0
staci,45449,k,05,C07,flits,max,933528.0
staci,45449,k,05,C07,flits,avg,402099.4666666667
staci,45449,k,05,C07,stalls,min,245751.0
staci,45449,k,05,C07,stalls,max,1915983.0
staci,45449,k,05,C07,stalls,avg,882190.0
staci,45449,k,05,C07,spf,min,0.8237608539718955
staci,45449,k,05,C07,spf,max,5.287220709624443
staci,45449,k,05,C07,spf,avg,2.187788969954463
staci,45449,b,15,G10,flits,min,568161.0
staci,45449,b,15,G10,flits,max,1873219.0
staci,45449,b,15,G10,flits,avg,1183085.875
staci,45449,b,15,G10,stalls,min,175909.0
staci,45449,b,15,G10,stalls,max,593820.0
staci,45449,b,15,G10,stalls,avg,427957.25
staci,45449,b,15,G10,spf,min,0.14035464263658545
staci,45449,b,15,G10,spf,max,0.8953148843373622
staci,45449,b,15,G10,spf,avg,0.4133544318563856
staci,45449,k,09,C10,flits,min,139671.0
staci,45449,k,09,C10,flits,max,805678.0
staci,45449,k,09,C10,flits,avg,399148.2
staci,45449,k,09,C10,stalls,min,2366966.0
staci,45449,k,09,C10,stalls,max,9670130.0
staci,45449,k,09,C10,stalls,avg,5100837.133333334
staci,45449,k,09,C10,spf,min,5.532674343844564
staci,45449,k,09,C10,spf,max,22.602995570812226
staci,45449,k,09,C10,spf,avg,13.88269599414139
staci,45449,b,10,G11,flits,min,310025.0
staci,45449,b,10,G11,flits,max,1232446.0
staci,45449,b,10,G11,flits,avg,782611.0
staci,45449,b,10,G11,stalls,min,6596234.0
staci,45449,b,10,G11,stalls,max,17464519.0
staci,45449,b,10,G11,stalls,avg,11533191.25
staci,45449,b,10,G11,spf,min,6.730954540807468
staci,45449,b,10,G11,spf,max,35.78781711152327
staci,45449,b,10,G11,spf,avg,17.915941389681347
staci,45449,b,01,G05,flits,min,989267.0
staci,45449,b,01,G05,flits,max,1572910.0
staci,45449,b,01,G05,flits,avg,1281088.5
staci,45449,b,01,G05,stalls,min,14345464.0
staci,45449,b,01,G05,stalls,max,44635601.0
staci,45449,b,01,G05,stalls,avg,29490532.5
staci,45449,b,01,G05,spf,min,9.120333649096262
staci,45449,b,01,G05,spf,max,45.119872592535685
staci,45449,b,01,G05,spf,avg,27.120103120815973
staci,45449,b,10,G13,flits,min,670864.0
staci,45449,b,10,G13,flits,max,1311534.0
staci,45449,b,10,G13,flits,avg,901748.125
staci,45449,b,10,G13,stalls,min,4759428.0
staci,45449,b,10,G13,stalls,max,13751612.0
staci,45449,b,10,G13,stalls,avg,9359857.875
staci,45449,b,10,G13,spf,min,5.827226678825356
staci,45449,b,10,G13,spf,max,15.255854510599635
staci,45449,b,10,G13,spf,avg,10.786022045689595
staci,45449,k,01,C15,flits,min,284932.0
staci,45449,k,01,C15,flits,max,923510.0
staci,45449,k,01,C15,flits,avg,569543.4
staci,45449,k,01,C15,stalls,min,29311494.0
staci,45449,k,01,C15,stalls,max,57340698.0
staci,45449,k,01,C15,stalls,avg,43385995.666666664
staci,45449,k,01,C15,spf,min,39.03551371500333
staci,45449,k,01,C15,spf,max,154.9418247160726
staci,45449,k,01,C15,spf,avg,85.23930687228139
staci,45449,b,15,G14,flits,min,648472.0
staci,45449,b,15,G14,flits,max,2554010.0
staci,45449,b,15,G14,flits,avg,1604127.0
staci,45449,b,15,G14,stalls,min,43436.0
staci,45449,b,15,G14,stalls,max,641553.0
staci,45449,b,15,G14,stalls,avg,312383.625
staci,45449,b,15,G14,spf,min,0.04100649566759723
staci,45449,b,15,G14,spf,max,0.3665947797125797
staci,45449,b,15,G14,spf,avg,0.2001012350656525
staci,45449,g,09,R05,flits,min,53439.0
staci,45449,g,09,R05,flits,max,2521108.0
staci,45449,g,09,R05,flits,avg,379191.675
staci,45449,g,09,R05,stalls,min,501.0
staci,45449,g,09,R05,stalls,max,5048495.0
staci,45449,g,09,R05,stalls,avg,863554.6083333333
staci,45449,g,09,R05,spf,min,0.0015192320972308541
staci,45449,g,09,R05,spf,max,24.930434878855966
staci,45449,g,09,R05,spf,avg,3.0058502999399876
staci,45449,b,01,G07,flits,min,1294082.0
staci,45449,b,01,G07,flits,max,2506552.0
staci,45449,b,01,G07,flits,avg,1853340.0
staci,45449,b,01,G07,stalls,min,6517390.0
staci,45449,b,01,G07,stalls,max,56645569.0
staci,45449,b,01,G07,stalls,avg,31195351.5
staci,45449,b,01,G07,spf,min,2.6001415490283066
staci,45449,b,01,G07,spf,max,43.77278178662558
staci,45449,b,01,G07,spf,avg,22.71244279799026
staci,45449,b,10,G15,flits,min,765816.0
staci,45449,b,10,G15,flits,max,1503966.0
staci,45449,b,10,G15,flits,avg,1164638.5833333333
staci,45449,b,10,G15,stalls,min,6847576.0
staci,45449,b,10,G15,stalls,max,21774838.0
staci,45449,b,10,G15,stalls,avg,15469607.25
staci,45449,b,10,G15,spf,min,4.906483006094791
staci,45449,b,10,G15,spf,max,24.784073458898742
staci,45449,b,10,G15,spf,avg,14.0629475908728
staci,45449,k,01,C13,flits,min,281796.0
staci,45449,k,01,C13,flits,max,2101624.0
staci,45449,k,01,C13,flits,avg,1000705.6
staci,45449,k,01,C13,stalls,min,1635374.0
staci,45449,k,01,C13,stalls,max,3807028.0
staci,45449,k,01,C13,stalls,avg,2714975.3333333335
staci,45449,k,01,C13,spf,min,1.810704312815474
staci,45449,k,01,C13,spf,max,8.01694133344689
staci,45449,k,01,C13,spf,avg,3.238649316563349
staci,45449,b,15,G00,flits,min,514367.0
staci,45449,b,15,G00,flits,max,1074425.0
staci,45449,b,15,G00,flits,avg,796780.75
staci,45449,b,15,G00,stalls,min,863741.0
staci,45449,b,15,G00,stalls,max,1674645.0
staci,45449,b,15,G00,stalls,avg,1253508.75
staci,45449,b,15,G00,spf,min,0.8913893477906787
staci,45449,b,15,G00,spf,max,2.761136092435752
staci,45449,b,15,G00,spf,avg,1.7322013973039805
staci,45449,k,01,C08,flits,min,269221.0
staci,45449,k,01,C08,flits,max,800802.0
staci,45449,k,01,C08,flits,avg,492085.4666666667
staci,45449,k,01,C08,stalls,min,44928285.0
staci,45449,k,01,C08,stalls,max,59337709.0
staci,45449,k,01,C08,stalls,avg,53239215.93333333
staci,45449,k,01,C08,spf,min,56.46717290915857
staci,45449,k,01,C08,spf,max,220.40520241734487
staci,45449,k,01,C08,spf,avg,123.54683895598842
staci,45449,k,01,C11,flits,min,110139.0
staci,45449,k,01,C11,flits,max,3312088.0
staci,45449,k,01,C11,flits,avg,826948.9333333333
staci,45449,k,01,C11,stalls,min,9924.0
staci,45449,k,01,C11,stalls,max,11260120.0
staci,45449,k,01,C11,stalls,avg,1508310.6
staci,45449,k,01,C11,spf,min,0.03614638258403762
staci,45449,k,01,C11,spf,max,9.072401179560726
staci,45449,k,01,C11,spf,avg,1.447936761346821
staci,45449,k,15,C03,flits,min,365195.0
staci,45449,k,15,C03,flits,max,2117798.0
staci,45449,k,15,C03,flits,avg,916025.8
staci,45449,k,15,C03,stalls,min,723676.0
staci,45449,k,15,C03,stalls,max,8775265.0
staci,45449,k,15,C03,stalls,avg,4653693.866666666
staci,45449,k,15,C03,spf,min,0.9035428126778097
staci,45449,k,15,C03,spf,max,15.639565163816592
staci,45449,k,15,C03,spf,avg,5.804798630680995
staci,45449,g,10,R03,flits,min,231292.0
staci,45449,g,10,R03,flits,max,3835753.0
staci,45449,g,10,R03,flits,avg,644035.7333333333
staci,45449,g,10,R03,stalls,min,331858.0
staci,45449,g,10,R03,stalls,max,8972876.0
staci,45449,g,10,R03,stalls,avg,4080087.2083333335
staci,45449,g,10,R03,spf,min,0.7814496918857914
staci,45449,g,10,R03,spf,max,21.15174121118688
