sg,sr,sc,dg,dr,dc,color,flits,stalls,stalls/flit,flits_vc_0,flits_vc_1,flits_vc_2,flits_vc_3,flits_vc_4,flits_vc_5,flits_vc_6,flits_vc_7,stalls_vc_0,stalls_vc_1,stalls_vc_2,stalls_vc_3,stalls_vc_4,stalls_vc_5,stalls_vc_6,stalls_vc_7,stalls/flit_0,stalls/flit_1,stalls/flit_2,stalls/flit_3,stalls/flit_4,stalls/flit_5,stalls/flit_6,stalls/flit_7
1,3,4,1,3,1,g,131466,37433,0.2847352167100239,26985,18271,28843,409,83,5788,46484,4603,0,20,35297,0,0,0,2035,81,0.0,0.001094630835750643,1.2237631314357036,0.0,0.0,0.0,0.04377850443163239,0.017597219204866392
1,3,4,3,3,2,b,34449,16233,0.47121832273796044,2069,15548,1602,0,128,9038,6064,0,0,16226,0,0,0,2,5,0,0.0,1.0436068947774633,0.0,0,0.0,0.0002212878955521133,0.0008245382585751979,0
1,3,4,3,3,2,b,86968,36898,0.42427099622849784,5175,40652,3921,0,305,24123,12792,0,0,36821,1,0,0,55,21,0,0.0,0.9057610941651087,0.0002550369803621525,0,0.0,0.002279981760145919,0.0016416510318949344,0
1,3,4,11,3,2,b,66834,31518,0.4715863183409642,6236,26879,3268,0,789,19490,10172,0,0,31472,0,0,0,44,2,0,0.0,1.1708768927415454,0.0,0,0.0,0.002257567983581324,0.00019661816751867872,0
1,3,4,1,2,4,k,101116,21379,0.21143043633055106,1010,4876,22203,455,0,3587,61614,7371,0,330,18577,0,0,4,2166,302,0.0,0.06767842493847416,0.8366887357564293,0.0,0,0.001115137998327293,0.03515434803778362,0.04097137430470764
1,3,4,1,3,6,g,262837,105597,0.401758504320168,10396,45913,28914,483,24586,119016,32626,903,0,33375,67375,0,16,147,4596,88,0.0,0.7269183020059679,2.330186069032303,0.0,0.0006507768648824535,0.0012351280500100827,0.14086924538711457,0.09745293466223699
1,3,4,1,3,2,g,89163,86282,0.9676883909244867,0,524,38018,1052,0,2068,45604,1897,0,0,80864,1,0,8,4672,737,0,0.0,2.1269924772476196,0.0009505703422053232,0,0.0038684719535783366,0.10244715375844224,0.3885081707959937
1,3,4,11,3,2,b,74590,20566,0.2757206059793538,7089,29326,3622,0,1202,22270,11081,0,0,20422,0,0,0,144,0,0,0.0,0.6963786401145741,0.0,0,0.0,0.0064660978895374945,0.0,0
1,3,4,1,2,4,k,143572,129294,0.9005516395954642,2193,9708,31831,795,2,7409,82387,9247,0,3812,116329,0,0,76,8452,625,0.0,0.3926658426040379,3.6545820112468976,0.0,0.0,0.010257794574166553,0.10258900069185672,0.06758948848275116
1,3,4,1,2,4,k,128508,117866,0.9171880349861488,1384,7045,28609,673,1,5387,76764,8645,0,2358,106362,0,0,63,7401,1682,0.0,0.33470546486870123,3.7177811178300533,0.0,0.0,0.01169482086504548,0.09641238080350165,0.19456333140543666
1,3,4,1,3,3,g,95318,183264,1.922658889191968,172,1728,38961,807,336,3677,48030,1607,0,0,175783,2,0,21,7279,179,0.0,0.0,4.511768178434845,0.0024783147459727386,0.0,0.005711177590426979,0.15155111388715387,0.11138767890479154
1,3,4,1,3,7,g,226328,133865,0.5914646000494858,9057,36411,37867,1190,17325,92530,30726,1222,0,11,126185,4,54,273,7114,224,0.0,0.00030210650627557605,3.3323210183008953,0.0033613445378151263,0.003116883116883117,0.002950394466659462,0.2315303000716006,0.18330605564648117
