g,r,c,n,jobid
7,0,3,2,2134898
6,1,10,3,2156311
9,0,4,2,2151490
9,0,4,3,2151490
9,0,5,0,2151490
9,0,5,1,2151490
9,0,3,2,2151490
9,0,3,3,2151490
9,0,4,0,2151490
9,0,4,1,2151490
9,0,5,2,2151490
9,0,5,3,2151490
13,4,0,1,2134898
13,4,0,0,2134898
4,3,0,0,2134898
4,3,0,1,2134898
4,2,15,2,2134898
4,2,15,3,2134898
13,3,15,3,2134898
13,3,15,2,2134898
4,2,14,2,2134898
4,2,14,3,2134898
4,2,14,0,2134898
4,2,14,1,2134898
7,4,15,1,2134898
7,4,15,0,2134898
7,4,15,3,2134898
7,4,15,2,2134898
7,4,14,1,2134898
7,4,14,0,2134898
7,4,14,3,2134898
7,4,14,2,2134898
7,5,0,1,2134898
8,3,12,1,2151490
4,0,13,0,2134898
8,3,12,0,2151490
4,0,11,2,2134898
8,3,12,3,2151490
4,0,11,0,2134898
4,0,11,1,2134898
4,0,12,2,2134898
4,0,12,3,2134898
4,0,12,0,2134898
8,3,12,2,2151490
8,3,13,1,2151490
14,1,10,0,2134898
6,1,12,0,2156311
10,1,3,1,2199656
10,1,3,0,2199656
10,1,2,3,2199656
10,1,2,2,2199656
10,1,2,1,2199656
10,1,2,0,2199656
10,1,3,3,2016372
10,1,3,2,2016372
9,3,0,1,2151490
9,3,0,0,2151490
9,2,15,3,2151490
9,2,15,2,2151490
9,2,15,1,2151490
9,2,15,0,2151490
9,2,14,3,2151490
9,2,14,2,2151490
9,2,14,1,2151490
9,2,14,0,2151490
6,3,13,2,2156311
6,3,13,3,2156311
6,3,14,0,2156311
6,3,14,1,2156311
6,3,14,2,2156311
6,3,14,3,2156311
6,3,15,0,2156311
6,3,15,1,2156311
6,3,15,2,2156311
6,3,15,3,2156311
11,3,0,3,2151490
11,3,0,2,2151490
11,3,0,1,2151490
11,3,0,0,2151490
11,2,15,3,2151490
11,2,15,2,2151490
11,2,15,1,2151490
11,2,15,0,2151490
11,2,14,3,2151490
11,2,14,2,2151490
2,2,5,3,2134898
2,2,5,2,2134898
2,2,4,3,2134898
2,2,4,2,2134898
2,2,5,1,2134898
2,2,5,0,2134898
2,2,3,3,2134898
2,2,3,2,2134898
2,2,4,1,2134898
2,2,4,0,2134898
9,3,13,1,2151490
1,3,13,2,2199656
1,3,13,3,2199656
1,3,14,0,2199656
3,0,14,3,2151490
1,3,14,2,2199656
9,3,14,2,2151490
1,3,14,3,2199656
3,0,15,2,2151490
3,0,15,3,2151490
2,5,5,3,2016372
2,5,5,2,2016372
2,5,6,1,2016372
2,5,6,0,2016372
2,5,6,3,2016372
2,5,6,2,2016372
2,5,7,1,2016372
3,4,8,0,2134898
2,5,7,3,2016372
2,5,7,2,2016372
9,3,14,3,2151490
3,4,10,1,2134898
3,4,10,0,2134898
11,2,6,0,2151490
7,1,4,1,2134898
7,1,4,0,2134898
7,1,2,3,2134898
7,1,2,2,2134898
7,1,2,1,2134898
7,1,2,0,2134898
7,1,3,3,2134898
7,1,3,2,2134898
7,1,3,1,2134898
7,1,3,0,2134898
3,0,7,3,2151490
8,5,15,0,2151490
8,5,15,1,2151490
8,5,14,2,2151490
8,5,14,3,2151490
2,1,4,2,2134898
8,5,15,2,2151490
8,5,15,3,2151490
2,1,6,2,2134898
2,1,6,3,2134898
13,3,11,1,2134898
13,3,11,0,2134898
13,3,9,3,2134898
13,3,9,2,2134898
13,3,9,1,2134898
13,3,9,0,2134898
13,3,10,3,2134898
13,3,10,2,2134898
13,3,10,1,2134898
13,3,10,0,2134898
7,5,13,3,2134898
7,5,13,2,2134898
7,5,13,1,2134898
7,5,13,0,2134898
7,5,14,3,2134898
7,5,14,2,2134898
7,5,14,1,2134898
7,5,14,0,2134898
7,5,15,1,2134898
7,5,15,0,2134898
3,2,6,0,2151490
3,2,6,1,2151490
3,2,6,2,2151490
3,2,6,3,2151490
3,2,5,0,2151490
3,2,5,1,2151490
3,2,5,2,2151490
3,2,5,3,2151490
3,2,7,0,2151490
3,2,7,1,2151490
10,1,8,3,2016372
10,1,8,2,2016372
10,1,7,3,2016372
10,1,7,2,2016372
10,1,8,1,2016372
10,1,8,0,2016372
10,1,6,3,2016372
10,1,6,2,2016372
10,1,7,1,2016372
10,1,7,0,2016372
9,3,4,1,2151490
9,3,4,0,2151490
9,3,4,3,2151490
9,3,4,2,2151490
9,3,5,1,2151490
9,3,5,0,2151490
14,3,3,2,2134898
1,0,15,2,2156311
6,4,4,2,2016372
6,4,4,3,2016372
6,4,4,0,2016372
6,4,4,1,2016372
6,4,3,2,2016372
6,4,3,3,2016372
6,4,3,0,2016372
6,4,3,1,2016372
6,4,2,2,2016372
6,4,2,3,2016372
9,2,2,1,2151490
9,2,2,0,2151490
9,2,1,3,2151490
9,2,1,2,2151490
9,2,3,1,2151490
9,2,3,0,2151490
9,2,2,3,2151490
9,2,2,2,2151490
11,3,4,3,2151490
11,3,4,2,2151490
11,3,5,1,2151490
11,3,5,0,2151490
11,3,3,3,2151490
11,3,3,2,2151490
11,3,4,1,2151490
11,3,4,0,2151490
11,3,5,3,2151490
11,3,5,2,2151490
2,3,4,1,2134898
2,3,4,0,2134898
2,3,3,3,2134898
2,3,3,2,2134898
2,3,3,1,2134898
2,3,3,0,2134898
2,3,2,3,2134898
2,3,2,2,2134898
2,3,4,3,2134898
2,3,4,2,2134898
3,1,6,3,2151490
8,4,14,2,2151490
8,4,14,3,2151490
8,4,14,0,2151490
8,4,14,1,2151490
14,0,8,2,2134898
14,0,8,3,2134898
14,0,9,0,2134898
14,0,9,1,2134898
4,2,4,1,2156311
4,2,4,0,2156311
4,2,4,3,2156311
4,2,4,2,2156311
4,2,5,1,2156311
4,2,5,0,2156311
4,2,5,3,2156311
4,2,5,2,2156311
4,2,6,0,2156311
3,4,15,1,2134898
3,4,15,0,2134898
3,4,14,1,2134898
3,4,14,0,2134898
3,4,14,3,2134898
3,4,14,2,2134898
3,4,13,1,2134898
3,4,13,0,2134898
3,4,13,3,2134898
3,4,13,2,2134898
14,3,5,3,2134898
14,3,5,2,2134898
14,3,6,1,2134898
14,3,6,0,2134898
14,3,6,3,2134898
14,3,6,2,2134898
14,3,7,1,2134898
14,3,7,0,2134898
14,3,7,3,2134898
14,3,7,2,2134898
7,5,6,3,2134898
0,4,15,3,2016372
0,4,15,2,2016372
0,4,14,1,2016372
0,4,14,0,2016372
0,4,13,3,2016372
0,4,13,2,2016372
0,4,15,1,2016372
0,4,15,0,2016372
0,4,14,3,2016372
0,4,14,2,2016372
1,0,15,3,2156311
1,0,15,1,2156311
1,0,15,0,2156311
5,5,14,3,2199656
5,5,14,2,2199656
5,5,13,1,2199656
5,5,13,0,2199656
5,5,12,3,2199656
5,5,12,2,2199656
5,5,14,1,2199656
5,5,14,0,2199656
5,5,13,3,2199656
5,5,13,2,2199656
8,5,11,2,2151490
8,5,11,3,2151490
2,1,11,2,2134898
2,1,11,3,2134898
8,5,9,2,2151490
8,5,9,3,2151490
2,1,10,2,2134898
8,5,10,1,2151490
8,5,10,2,2151490
2,1,10,1,2134898
8,5,11,0,2151490
8,5,11,1,2151490
7,0,13,1,2134898
7,0,13,0,2134898
