group,row,col,port,COLBUF_PERF_STALL_RQ:COL_BUF_PERF_STALL_RQ,COLBUF_PERF_STALL_RQ:VC_PTR,COLBUF_PERF_STALL_RS:COL_BUF_PERF_STALL_RS,COLBUF_PERF_STALL_RS:VC_PTR,INQ_PRF_INCOMING_FLIT_VC0,INQ_PRF_INCOMING_FLIT_VC1,INQ_PRF_INCOMING_FLIT_VC2,INQ_PRF_INCOMING_FLIT_VC3,INQ_PRF_INCOMING_FLIT_VC4,INQ_PRF_INCOMING_FLIT_VC5,INQ_PRF_INCOMING_FLIT_VC6,INQ_PRF_INCOMING_FLIT_VC7,INQ_PRF_INCOMING_PKT_VC0_FILTER_FLIT0_CNT,INQ_PRF_INCOMING_PKT_VC1_FILTER_FLIT1_CNT,INQ_PRF_INCOMING_PKT_VC2_FILTER_FLIT2_CNT,INQ_PRF_INCOMING_PKT_VC3_FILTER_FLIT3_CNT,INQ_PRF_INCOMING_PKT_VC4_FILTER_FLIT4_CNT,INQ_PRF_INCOMING_PKT_VC5_FILTER_FLIT5_CNT,INQ_PRF_INCOMING_PKT_VC6_FILTER_FLIT6_CNT,INQ_PRF_INCOMING_PKT_VC7_FILTER_FLIT7_CNT,INQ_PRF_MATCH_FLIT_3_TO_0_FILTERING_CNT,INQ_PRF_MATCH_FLIT_7_TO_4_FILTERING_CNT,INQ_PRF_PKT_TO_DEAD_LINK_CNT,INQ_PRF_ROWBUS_2X_USAGE_CNT,INQ_PRF_ROWBUS_STALL_CNT
4,11,2,0,0,0,0,0,151893197,864206071,1427296776,353199578,369790978,2818385478,5356247819,1385406688,5629,4801531084,4056685726,259346404,72894,18968287,143344574,40941583,0,0,0,6689226,9012409534
4,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2,4,0,0,0,0,1095539700,578257185,333797321,0,3839184750,1588609329,926549870,0,305375,8036590319,4880802,0,17844030,10289141,4947349,0,0,0,0,161499,8066994511
4,11,2,5,0,0,0,0,3889718147,1123044632,795333853,0,13863204762,3445025893,2509427362,0,92666581,10442760456,8381605,0,65980404,18620696,7734393,0,0,0,0,737035,10609209247
4,11,2,6,0,0,0,0,3834663749,1103108560,777645778,0,13690755210,3369412253,2454971014,0,91928179,10509507048,8412844,0,97209550,21693398,9939561,0,0,0,0,975397,10710833658
4,11,2,7,0,0,0,0,303494649,1468537731,698441166,176317723,22600068,2406148853,2228665388,622874072,87427,193880418,285030438,4813699,1792,1747854,47081402,13564870,0,0,0,205348,539435182
4,11,2,8,0,0,0,0,190016866,996190808,1432819834,360993871,462748640,3256243658,5392677301,1411623071,85481,3537184128,12894412281,702505549,996078,45918224,520266997,139241093,0,0,0,9980989,17180791333
4,11,2,9,0,0,0,0,173839220,949058123,1411762249,350482832,423009733,3098877194,5337476287,1378291971,73270,3492052684,12685724849,700355372,917436,45466033,531561722,139826569,0,0,0,9866209,16950052697
4,11,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,2,13,0,0,0,0,1326744058,753543585,425204897,0,4571766583,2059949048,1173249079,0,31075,6288387612,4827191,0,1827200,12005355,6621132,0,0,0,0,84056,6304452253
4,11,2,14,0,0,0,0,2813164068,2154559430,619177216,148518740,8993669397,8292060899,1915576617,495597228,223820,8074098134,757635511,20589701,8974065,340861142,89110827,29952295,0,0,0,9201382,9032454762
4,11,2,15,0,0,0,0,712539700,854847795,595274977,84931903,1998814482,2582722086,1746669528,245920620,189274,1672531033,723165473,4419636,5899869,83341223,85253245,13650299,0,0,0,819209,2543250534
4,11,2,16,0,0,0,0,9715741,591270143,1318405962,328918941,43005644,1901969363,4966149573,1292845377,13348,4566416022,36393486876,3435366154,155267,101252347,1233819191,363383231,0,0,0,17254391,44037910561
4,11,2,17,0,0,0,0,124277432,701236514,1343440089,326146776,359134525,2106391058,5060785395,1284316118,99957,4247097104,37384090072,3540776022,1105828,86330219,1237302505,363949142,0,0,0,17628560,44679320176
4,11,2,18,0,0,0,0,134353894,743956562,1360709588,337054484,390948992,2238446700,5101932607,1318889296,84499,4655048372,37725538532,3711549900,1076913,86940957,1237177327,366490427,0,0,0,17783203,45572458471
4,11,2,19,0,0,0,0,129356407,732968751,1373032165,333317457,374453390,2195800555,5155256162,1306706177,58663,4239586531,37671177930,3731006534,798849,83210373,1219895904,362501080,0,0,0,17454519,45109465268
4,11,2,20,0,0,0,0,690364984,690414337,719480434,171177099,287570133,2257795908,2255789598,603178155,747270,455864419,6480105963,71398614,381672,4336152,304380084,85730855,0,0,0,888763,7272191112
4,11,2,21,0,0,0,0,2371573229,2261114727,626197385,146122537,7749275654,9164599330,1929650145,486326542,137176,10429642846,4572516857,80253966,11183624,372751849,248277818,74610306,0,0,0,9200736,15274126759
4,11,2,22,0,0,0,0,441235,1017629435,587465044,85005843,508615521,1552437292,1778947812,250127840,721,4187142231,3647599358,18889436,1401682,175540434,223537431,34578189,0,0,0,956799,8161159103
4,11,2,23,0,0,0,0,1960642825,755063337,790585969,179641844,8238298588,2642668783,2594123746,644484691,127512,1842549888,6724921540,92439055,20813041,72852525,328228125,95345407,0,0,0,2584400,8935642692
4,11,2,24,0,0,0,0,449599152,508368260,1320420088,329916380,1615644035,1580529557,4987561172,1303404689,119327,3564553224,34754097263,2957024921,7021010,76412370,1151524274,344777825,0,0,0,17335473,40823314480
4,11,2,25,0,0,0,0,250777899,609641989,1389474422,329242541,851477745,2024773826,5210638693,1291939463,135527,6464373162,36166139729,2780799021,3073659,79908316,1177250334,331577711,0,0,0,17488615,44823489616
4,11,2,26,0,0,0,0,275341090,548527415,1367276405,317273469,927232028,1817618914,5146213675,1250317256,83868,5792955456,35797525101,2746784596,2065911,70578407,1131540352,318467854,0,0,0,16653186,43697786202
4,11,2,27,0,0,0,0,7702634,522761488,1272984733,320365536,30305087,1679030347,4804134453,1267303444,7000,5702068935,34484272275,3080323522,73523,83213362,1110311313,326433944,0,0,0,16906998,42763916071
4,11,2,28,0,0,0,0,899758089,1789113099,626461545,122496621,3796170246,5842869026,2070499970,458387885,58935,1498432190,7460837255,35631686,5624846,7109677,266666785,62942316,0,0,0,1225406,9169475106
4,11,2,29,0,0,0,0,161098023,491838642,723691163,147166723,734603129,1744765324,2287813705,499185155,9834,552010548,8784261591,44585285,1891723,3976757,275003054,64828736,0,0,0,854509,9554627625
4,11,2,30,0,0,0,0,1220909147,1298379807,701298549,144181645,4629526767,4665558497,2203596443,493353726,99247,1196064587,8266977254,34938269,7689870,7115644,288121226,70729272,0,0,0,1399651,9674316238
4,11,2,31,0,0,0,0,11738808,453472020,763464994,143224311,1259064,1552645375,2436758290,485293870,26421,454978331,9308717296,42004956,104,4556092,299837469,66482412,0,0,0,891504,9992199724
4,11,2,32,0,0,0,0,110357809,541801950,1315901228,336095284,211389266,1678063767,4943765740,1315802410,164958,4264541148,36065214632,3007907982,3331571,84998905,1286896480,365200405,0,0,0,17105515,43043086066
4,11,2,33,0,0,0,0,488146424,581008033,1381456953,342917431,1739496506,1795115877,5184916382,1336984443,107962,4183420658,36292993228,3046422593,8779440,85795025,1276358391,362966169,0,0,0,17540705,43155169847
4,11,2,34,0,0,0,0,300217774,613911337,1389068406,325450188,1004838666,2038227994,5210853625,1273501478,113828,5794092535,37091901959,2771562098,2537497,80480388,1268665550,340876923,0,0,0,16627611,45195315723
4,11,2,35,0,0,0,0,10382500,634494736,1365414083,340072342,45495448,2040711353,5116388858,1325129017,8924,6073421845,36218630320,3151874620,134506,97171142,1256989657,354049231,0,0,0,17694119,45060065186
4,11,2,36,0,0,0,0,1378303050,1170397272,709227524,142432260,5296520929,3520652797,2221775651,488165455,124504,1320365373,7496937954,37158654,8474023,4966524,303630708,72408532,0,0,0,1214923,9050081540
4,11,2,37,0,0,0,0,557509901,899841481,751685290,189993934,2328741508,3183124574,2352611570,593354860,43713,691960925,10095011448,64279647,8085883,9201300,322785266,72737571,0,0,0,1631046,11045062594
4,11,2,38,0,0,0,0,771474320,1651364164,643181140,120538385,3318833046,5570812079,2118755639,449146349,67826,1231807213,6722300130,32886607,9833650,14722683,302772940,69878149,0,0,0,1572561,8227511460
4,11,2,39,0,0,0,0,2456881082,1451758289,715819218,192414220,7757641205,5106943902,2199923948,600552765,799054,14402715800,9593321264,68169504,31974795,762645962,263766386,76485187,0,0,0,16438680,24487916114
4,9,2,0,0,0,0,0,184932396,1490406103,3373361840,806929501,473498900,4427222700,10580088288,2561886657,40584,802110213,12049844269,1092565291,399259,50852547,667402619,164508974,0,0,0,21737383,14041228824
4,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,2,4,0,0,0,0,2304553446,1013672487,744318593,0,8368193035,2661888697,2007822381,0,1078020,1847647447,45302522,0,14568799,22366781,16881748,0,0,0,0,397285,1941315436
4,9,2,5,0,0,0,0,1473953236,692761721,395897583,0,4060239681,1950850667,1119544078,0,53154604,1158045329,17200527,0,18040869,15090624,8938902,0,0,0,0,172012,1265269160
4,9,2,6,0,0,0,0,1526575338,725796364,411855763,0,4178741496,2035121370,1157263230,0,58251958,1165785132,18132709,0,17085154,15308105,9059171,0,0,0,0,166711,1278140798
