sg,sr,sg,dg,dr,dc,color,value
9,0,0,9,0,6,g,0.007387
10,0,0,10,0,6,g,0.005971
11,0,0,11,0,6,g,0.009887
12,0,0,12,0,6,g,0.006137
13,0,0,13,0,6,g,0.007728
14,0,0,14,0,6,g,0.010429
0,0,0,0,0,7,g,0.716991
1,0,0,1,0,7,g,0.721255
2,0,0,2,0,7,g,0.732577
3,0,0,3,0,7,g,0.718284
4,0,0,4,0,7,g,0.672920
5,0,0,5,0,7,g,0.720906
6,0,0,6,0,7,g,0.718380
7,0,0,7,0,7,g,0.351460
8,0,0,8,0,7,g,0.006607
9,0,0,9,0,7,g,0.006800
10,0,0,10,0,7,g,0.006302
11,0,0,11,0,7,g,0.012033
12,0,0,12,0,7,g,0.007954
13,0,0,13,0,7,g,0.012109
14,0,0,14,0,7,g,0.007925
0,0,0,0,0,8,g,0.714326
1,0,0,1,0,8,g,0.720119
2,0,0,2,0,8,g,0.732595
3,0,0,3,0,8,g,0.710353
4,0,0,4,0,8,g,0.717721
5,0,0,5,0,8,g,0.679584
6,0,0,6,0,8,g,0.721376
7,0,0,7,0,8,g,0.484190
8,0,0,8,0,8,g,0.014940
9,0,0,9,0,8,g,0.004185
10,0,0,10,0,8,g,0.006173
11,0,0,11,0,8,g,0.004739
12,0,0,12,0,8,g,0.013072
13,0,0,13,0,8,g,0.007922
14,0,0,14,0,8,g,0.012046
0,0,0,0,0,9,g,0.709058
1,0,0,1,0,9,g,0.717861
2,0,0,2,0,9,g,0.726675
3,0,0,3,0,9,g,0.716046
4,0,0,4,0,9,g,0.715589
5,0,0,5,0,9,g,0.674890
6,0,0,6,0,9,g,0.719631
7,0,0,7,0,9,g,0.483769
8,0,0,8,0,9,g,0.008195
9,0,0,9,0,9,g,0.005800
10,0,0,10,0,9,g,0.005372
11,0,0,11,0,9,g,0.005269
12,0,0,12,0,9,g,0.020659
13,0,0,13,0,9,g,0.009326
14,0,0,14,0,9,g,0.011464
0,0,0,0,0,10,g,0.630393
1,0,0,1,0,10,g,0.599090
2,0,0,2,0,10,g,0.604383
3,0,0,3,0,10,g,0.600073
4,0,0,4,0,10,g,0.567121
5,0,0,5,0,10,g,0.572861
6,0,0,6,0,10,g,0.702378
7,0,0,7,0,10,g,0.440712
8,0,0,8,0,10,g,0.006214
9,0,0,9,0,10,g,0.005137
10,0,0,10,0,10,g,0.004228
11,0,0,11,0,10,g,0.011117
12,0,0,12,0,10,g,0.013018
13,0,0,13,0,10,g,0.006342
14,0,0,14,0,10,g,0.008767
0,0,0,0,0,11,g,0.622586
1,0,0,1,0,11,g,0.569865
2,0,0,2,0,11,g,0.579258
3,0,0,3,0,11,g,0.552611
4,0,0,4,0,11,g,0.570415
5,0,0,5,0,11,g,0.509396
6,0,0,6,0,11,g,0.671286
7,0,0,7,0,11,g,0.098527
8,0,0,8,0,11,g,0.005974
9,0,0,9,0,11,g,0.010326
10,0,0,10,0,11,g,0.006619
11,0,0,11,0,11,g,0.007057
12,0,0,12,0,11,g,0.016272
13,0,0,13,0,11,g,0.008131
14,0,0,14,0,11,g,0.011491
0,0,0,0,0,12,g,0.642516
1,0,0,1,0,12,g,0.727263
2,0,0,2,0,12,g,0.729459
3,0,0,3,0,12,g,0.719321
4,0,0,4,0,12,g,0.717381
5,0,0,5,0,12,g,0.720832
6,0,0,6,0,12,g,0.725885
7,0,0,7,0,12,g,0.264551
8,0,0,8,0,12,g,0.013174
9,0,0,9,0,12,g,0.007317
10,0,0,10,0,12,g,0.007587
11,0,0,11,0,12,g,0.017628
12,0,0,12,0,12,g,0.014780
13,0,0,13,0,12,g,0.013156
14,0,0,14,0,12,g,0.007411
0,0,0,0,0,13,g,0.733109
1,0,0,1,0,13,g,0.743558
2,0,0,2,0,13,g,0.738059
3,0,0,3,0,13,g,0.731287
4,0,0,4,0,13,g,0.737258
5,0,0,5,0,13,g,0.738604
6,0,0,6,0,13,g,0.726755
7,0,0,7,0,13,g,0.446049
8,0,0,8,0,13,g,0.010594
9,0,0,9,0,13,g,0.008760
10,0,0,10,0,13,g,0.007289
11,0,0,11,0,13,g,0.007688
12,0,0,12,0,13,g,0.010393
13,0,0,13,0,13,g,0.012739
14,0,0,14,0,13,g,0.010750
0,0,0,0,0,14,g,0.671140
1,0,0,1,0,14,g,0.648521
2,0,0,2,0,14,g,0.669185
3,0,0,3,0,14,g,0.659220
4,0,0,4,0,14,g,0.654925
5,0,0,5,0,14,g,0.665535
6,0,0,6,0,14,g,0.650878
7,0,0,7,0,14,g,0.111993
8,0,0,8,0,14,g,0.006636
9,0,0,9,0,14,g,0.003800
10,0,0,10,0,14,g,0.006266
11,0,0,11,0,14,g,0.004737
12,0,0,12,0,14,g,0.011780
13,0,0,13,0,14,g,0.011621
14,0,0,14,0,14,g,0.009986
0,0,0,0,0,15,g,0.677437
1,0,0,1,0,15,g,0.652111
2,0,0,2,0,15,g,0.695662
3,0,0,3,0,15,g,0.689005
4,0,0,4,0,15,g,0.669623
5,0,0,5,0,15,g,0.698051
6,0,0,6,0,15,g,0.688331
7,0,0,7,0,15,g,0.112654
8,0,0,8,0,15,g,0.011022
9,0,0,9,0,15,g,0.007683
10,0,0,10,0,15,g,0.008115
11,0,0,11,0,15,g,0.008616
12,0,0,12,0,15,g,0.005912
13,0,0,13,0,15,g,0.010431
14,0,0,14,0,15,g,0.016752
0,0,0,0,1,0,k,0.593369
1,0,0,1,1,0,k,0.671614
2,0,0,2,1,0,k,0.679781
3,0,0,3,1,0,k,0.619904
4,0,0,4,1,0,k,0.625132
5,0,0,5,1,0,k,0.650299
6,0,0,6,1,0,k,0.642924
7,0,0,7,1,0,k,0.293608
8,0,0,8,1,0,k,0.008287
9,0,0,9,1,0,k,0.004658
10,0,0,10,1,0,k,0.006321
11,0,0,11,1,0,k,0.008146
12,0,0,12,1,0,k,0.012401
13,0,0,13,1,0,k,0.010063
14,0,0,14,1,0,k,0.010043
0,0,0,0,1,0,k,0.602726
1,0,0,1,1,0,k,0.666382
2,0,0,2,1,0,k,0.652299
3,0,0,3,1,0,k,0.629838
4,0,0,4,1,0,k,0.631816
5,0,0,5,1,0,k,0.632422
6,0,0,6,1,0,k,0.639135
7,0,0,7,1,0,k,0.305549
8,0,0,8,1,0,k,0.007588
9,0,0,9,1,0,k,0.005432
10,0,0,10,1,0,k,0.005078
11,0,0,11,1,0,k,0.007135
12,0,0,12,1,0,k,0.007694
13,0,0,13,1,0,k,0.011495
14,0,0,14,1,0,k,0.008813
0,0,0,0,1,0,k,0.579495
1,0,0,1,1,0,k,0.650048
2,0,0,2,1,0,k,0.638931
3,0,0,3,1,0,k,0.658762
4,0,0,4,1,0,k,0.648790
5,0,0,5,1,0,k,0.643336
6,0,0,6,1,0,k,0.617118
7,0,0,7,1,0,k,0.314572
8,0,0,8,1,0,k,0.008501
9,0,0,9,1,0,k,0.007492
10,0,0,10,1,0,k,0.006792
11,0,0,11,1,0,k,0.006174
12,0,0,12,1,0,k,0.008423
13,0,0,13,1,0,k,0.009530
14,0,0,14,1,0,k,0.010161
0,0,0,0,2,0,k,0.517845
1,0,0,1,2,0,k,0.557147
2,0,0,2,2,0,k,0.568709
3,0,0,3,2,0,k,0.518752
4,0,0,4,2,0,k,0.513229
5,0,0,5,2,0,k,0.502036
6,0,0,6,2,0,k,0.521570
7,0,0,7,2,0,k,0.315243
8,0,0,8,2,0,k,0.008772
9,0,0,9,2,0,k,0.008166
10,0,0,10,2,0,k,0.010484
11,0,0,11,2,0,k,0.011805
12,0,0,12,2,0,k,0.008692
13,0,0,13,2,0,k,0.006712
14,0,0,14,2,0,k,0.007553
0,0,0,0,2,0,k,0.488678
1,0,0,1,2,0,k,0.537712
2,0,0,2,2,0,k,0.541595
3,0,0,3,2,0,k,0.536931
4,0,0,4,2,0,k,0.506103
5,0,0,5,2,0,k,0.500887
6,0,0,6,2,0,k,0.533032
7,0,0,7,2,0,k,0.313145
8,0,0,8,2,0,k,0.005360
9,0,0,9,2,0,k,0.006014
10,0,0,10,2,0,k,0.006756
11,0,0,11,2,0,k,0.013375
12,0,0,12,2,0,k,0.015449
13,0,0,13,2,0,k,0.005818
14,0,0,14,2,0,k,0.009326
0,0,0,0,2,0,k,0.532731
1,0,0,1,2,0,k,0.545379
2,0,0,2,2,0,k,0.526371
3,0,0,3,2,0,k,0.510156
4,0,0,4,2,0,k,0.509110
5,0,0,5,2,0,k,0.510085
6,0,0,6,2,0,k,0.515245
7,0,0,7,2,0,k,0.313925
8,0,0,8,2,0,k,0.009512
9,0,0,9,2,0,k,0.004593
10,0,0,10,2,0,k,0.005741
11,0,0,11,2,0,k,0.004009
12,0,0,12,2,0,k,0.011326
13,0,0,13,2,0,k,0.012612
14,0,0,14,2,0,k,0.010457
0,0,0,0,3,0,k,0.517416
1,0,0,1,3,0,k,0.533629
2,0,0,2,3,0,k,0.554529
3,0,0,3,3,0,k,0.495930
4,0,0,4,3,0,k,0.523081
5,0,0,5,3,0,k,0.526796
6,0,0,6,3,0,k,0.497014
7,0,0,7,3,0,k,0.306923
8,0,0,8,3,0,k,0.008873
9,0,0,9,3,0,k,0.008937
10,0,0,10,3,0,k,0.005121
11,0,0,11,3,0,k,0.004150
12,0,0,12,3,0,k,0.009585
13,0,0,13,3,0,k,0.008754
14,0,0,14,3,0,k,0.009103
0,0,0,0,3,0,k,0.523935
1,0,0,1,3,0,k,0.526338
2,0,0,2,3,0,k,0.534797
3,0,0,3,3,0,k,0.534421
4,0,0,4,3,0,k,0.511193
5,0,0,5,3,0,k,0.520728
6,0,0,6,3,0,k,0.524416
7,0,0,7,3,0,k,0.334409
8,0,0,8,3,0,k,0.015175
9,0,0,9,3,0,k,0.007305
10,0,0,10,3,0,k,0.006999
11,0,0,11,3,0,k,0.004351
12,0,0,12,3,0,k,0.014520
13,0,0,13,3,0,k,0.009430
14,0,0,14,3,0,k,0.011517
0,0,0,0,3,0,k,0.482033
1,0,0,1,3,0,k,0.580198
2,0,0,2,3,0,k,0.523012
3,0,0,3,3,0,k,0.542188
4,0,0,4,3,0,k,0.503152
5,0,0,5,3,0,k,0.525879
6,0,0,6,3,0,k,0.538101
7,0,0,7,3,0,k,0.306804
8,0,0,8,3,0,k,0.005353
9,0,0,9,3,0,k,0.006998
10,0,0,10,3,0,k,0.006080
11,0,0,11,3,0,k,0.003190
12,0,0,12,3,0,k,0.011768
13,0,0,13,3,0,k,0.011231
14,0,0,14,3,0,k,0.009203
0,0,0,0,4,0,k,0.493334
1,0,0,1,4,0,k,0.522497
2,0,0,2,4,0,k,0.523423
3,0,0,3,4,0,k,0.515864
4,0,0,4,4,0,k,0.512607
5,0,0,5,4,0,k,0.496126
6,0,0,6,4,0,k,0.516118
7,0,0,7,4,0,k,0.299436
8,0,0,8,4,0,k,0.004354
9,0,0,9,4,0,k,0.011811
10,0,0,10,4,0,k,0.006988
11,0,0,11,4,0,k,0.005989
12,0,0,12,4,0,k,0.007620
13,0,0,13,4,0,k,0.009560
14,0,0,14,4,0,k,0.010531
0,0,0,0,4,0,k,0.507915
1,0,0,1,4,0,k,0.563000
2,0,0,2,4,0,k,0.535763
3,0,0,3,4,0,k,0.513418
4,0,0,4,4,0,k,0.500205
5,0,0,5,4,0,k,0.518814
6,0,0,6,4,0,k,0.516054
7,0,0,7,4,0,k,0.299879
8,0,0,8,4,0,k,0.007183
9,0,0,9,4,0,k,0.007503
10,0,0,10,4,0,k,0.003861
11,0,0,11,4,0,k,0.006980
12,0,0,12,4,0,k,0.010149
13,0,0,13,4,0,k,0.006373
14,0,0,14,4,0,k,0.009235
0,0,0,0,4,0,k,0.509643
1,0,0,1,4,0,k,0.539131
2,0,0,2,4,0,k,0.592459
3,0,0,3,4,0,k,0.490120
4,0,0,4,4,0,k,0.534043
5,0,0,5,4,0,k,0.502231
6,0,0,6,4,0,k,0.545232
7,0,0,7,4,0,k,0.287568
8,0,0,8,4,0,k,0.006644
9,0,0,9,4,0,k,0.006962
10,0,0,10,4,0,k,0.007470
11,0,0,11,4,0,k,0.006862
12,0,0,12,4,0,k,0.012693
13,0,0,13,4,0,k,0.007090
14,0,0,14,4,0,k,0.012095
0,0,0,0,5,0,k,0.541436
1,0,0,1,5,0,k,0.551472
2,0,0,2,5,0,k,0.540495
3,0,0,3,5,0,k,0.528336
4,0,0,4,5,0,k,0.499897
5,0,0,5,5,0,k,0.500966
6,0,0,6,5,0,k,0.534560
7,0,0,7,5,0,k,0.298151
8,0,0,8,5,0,k,0.007123
9,0,0,9,5,0,k,0.008170
10,0,0,10,5,0,k,0.007140
11,0,0,11,5,0,k,0.005583
12,0,0,12,5,0,k,0.011319
13,0,0,13,5,0,k,0.006879
14,0,0,14,5,0,k,0.006826
0,0,0,0,5,0,k,0.533960
1,0,0,1,5,0,k,0.557178
2,0,0,2,5,0,k,0.536662
3,0,0,3,5,0,k,0.511772
4,0,0,4,5,0,k,0.495697
5,0,0,5,5,0,k,0.499892
6,0,0,6,5,0,k,0.533930
7,0,0,7,5,0,k,0.319702
8,0,0,8,5,0,k,0.014949
9,0,0,9,5,0,k,0.008337
10,0,0,10,5,0,k,0.007308
11,0,0,11,5,0,k,0.008143
12,0,0,12,5,0,k,0.009988
13,0,0,13,5,0,k,0.012117
14,0,0,14,5,0,k,0.015046
0,0,0,0,5,0,k,0.541832
1,0,0,1,5,0,k,0.556252
2,0,0,2,5,0,k,0.548867
3,0,0,3,5,0,k,0.529143
4,0,0,4,5,0,k,0.519522
5,0,0,5,5,0,k,0.508318
6,0,0,6,5,0,k,0.506719
7,0,0,7,5,0,k,0.307876
8,0,0,8,5,0,k,0.009711
9,0,0,9,5,0,k,0.007195
10,0,0,10,5,0,k,0.004372
11,0,0,11,5,0,k,0.009151
12,0,0,12,5,0,k,0.011013
13,0,0,13,5,0,k,0.013121
14,0,0,14,5,0,k,0.009547
0,0,1,0,0,0,g,0.610410
1,0,1,1,0,0,g,0.690290
2,0,1,2,0,0,g,0.626389
3,0,1,3,0,0,g,0.616335
4,0,1,4,0,0,g,0.635087
5,0,1,5,0,0,g,0.637725
6,0,1,6,0,0,g,0.655947
7,0,1,7,0,0,g,0.292118
8,0,1,8,0,0,g,0.010615
9,0,1,9,0,0,g,0.007140
10,0,1,10,0,0,g,0.008151
11,0,1,11,0,0,g,0.005935
12,0,1,12,0,0,g,0.014812
13,0,1,13,0,0,g,0.012952
14,0,1,14,0,0,g,0.014699
0,0,1,0,0,2,g,0.628154
1,0,1,1,0,2,g,0.699946
2,0,1,2,0,2,g,0.699721
3,0,1,3,0,2,g,0.672533
4,0,1,4,0,2,g,0.663341
5,0,1,5,0,2,g,0.673888
6,0,1,6,0,2,g,0.669071
7,0,1,7,0,2,g,0.361833
8,0,1,8,0,2,g,0.007165
9,0,1,9,0,2,g,0.007826
10,0,1,10,0,2,g,0.006817
11,0,1,11,0,2,g,0.012122
12,0,1,12,0,2,g,0.010007
13,0,1,13,0,2,g,0.012091
14,0,1,14,0,2,g,0.010093
0,0,1,0,0,3,g,0.682158
1,0,1,1,0,3,g,0.673754
2,0,1,2,0,3,g,0.725201
3,0,1,3,0,3,g,0.676668
4,0,1,4,0,3,g,0.662729
5,0,1,5,0,3,g,0.689474
6,0,1,6,0,3,g,0.670581
7,0,1,7,0,3,g,0.451745
8,0,1,8,0,3,g,0.006776
9,0,1,9,0,3,g,0.006672
10,0,1,10,0,3,g,0.006400
11,0,1,11,0,3,g,0.011287
12,0,1,12,0,3,g,0.007338
13,0,1,13,0,3,g,0.015384
14,0,1,14,0,3,g,0.011366
0,0,1,0,0,4,g,0.761383
1,0,1,1,0,4,g,0.763700
2,0,1,2,0,4,g,0.752139
3,0,1,3,0,4,g,0.796689
4,0,1,4,0,4,g,0.746135
5,0,1,5,0,4,g,0.762369
6,0,1,6,0,4,g,0.755395
7,0,1,7,0,4,g,0.472928
8,0,1,8,0,4,g,0.013185
9,0,1,9,0,4,g,0.007661
10,0,1,10,0,4,g,0.006669
11,0,1,11,0,4,g,0.007899
12,0,1,12,0,4,g,0.022158
13,0,1,13,0,4,g,0.010312
14,0,1,14,0,4,g,0.010047
0,0,1,0,0,5,g,0.715737
1,0,1,1,0,5,g,0.732399
2,0,1,2,0,5,g,0.720735
3,0,1,3,0,5,g,0.724277
4,0,1,4,0,5,g,0.726635
5,0,1,5,0,5,g,0.721867
6,0,1,6,0,5,g,0.730144
7,0,1,7,0,5,g,0.362185
8,0,1,8,0,5,g,0.008814
9,0,1,9,0,5,g,0.010190
10,0,1,10,0,5,g,0.004364
11,0,1,11,0,5,g,0.007738
12,0,1,12,0,5,g,0.018001
13,0,1,13,0,5,g,0.011298
14,0,1,14,0,5,g,0.008841
0,0,1,0,0,6,g,0.522333
1,0,1,1,0,6,g,0.501757
2,0,1,2,0,6,g,0.496125
3,0,1,3,0,6,g,0.503998
4,0,1,4,0,6,g,0.682697
5,0,1,5,0,6,g,0.449016
6,0,1,6,0,6,g,0.540088
7,0,1,7,0,6,g,0.297769
8,0,1,8,0,6,g,0.011717
9,0,1,9,0,6,g,0.004973
10,0,1,10,0,6,g,0.005625
11,0,1,11,0,6,g,0.011373
12,0,1,12,0,6,g,0.009957
13,0,1,13,0,6,g,0.011213
14,0,1,14,0,6,g,0.011028
0,0,1,0,0,7,g,0.605707
1,0,1,1,0,7,g,0.574976
2,0,1,2,0,7,g,0.601333
3,0,1,3,0,7,g,0.558634
4,0,1,4,0,7,g,0.677946
5,0,1,5,0,7,g,0.562744
6,0,1,6,0,7,g,0.517111
7,0,1,7,0,7,g,0.309033
8,0,1,8,0,7,g,0.007534
9,0,1,9,0,7,g,0.007985
10,0,1,10,0,7,g,0.007257
11,0,1,11,0,7,g,0.006814
12,0,1,12,0,7,g,0.008632
13,0,1,13,0,7,g,0.015819
14,0,1,14,0,7,g,0.010950
0,0,1,0,0,8,g,0.711428
1,0,1,1,0,8,g,0.720265
2,0,1,2,0,8,g,0.724239
3,0,1,3,0,8,g,0.726227
4,0,1,4,0,8,g,0.714510
5,0,1,5,0,8,g,0.705315
6,0,1,6,0,8,g,0.721141
7,0,1,7,0,8,g,0.481468
8,0,1,8,0,8,g,0.005406
9,0,1,9,0,8,g,0.008337
10,0,1,10,0,8,g,0.008485
11,0,1,11,0,8,g,0.008236
12,0,1,12,0,8,g,0.010915
13,0,1,13,0,8,g,0.008412
14,0,1,14,0,8,g,0.013304
0,0,1,0,0,9,g,0.707140
1,0,1,1,0,9,g,0.719899
2,0,1,2,0,9,g,0.716529
3,0,1,3,0,9,g,0.728281
4,0,1,4,0,9,g,0.709245
5,0,1,5,0,9,g,0.701098
6,0,1,6,0,9,g,0.719798
7,0,1,7,0,9,g,0.483637
8,0,1,8,0,9,g,0.005827
9,0,1,9,0,9,g,0.005956
10,0,1,10,0,9,g,0.003709
11,0,1,11,0,9,g,0.008001
12,0,1,12,0,9,g,0.007523
13,0,1,13,0,9,g,0.006269
14,0,1,14,0,9,g,0.008820
0,0,1,0,0,10,g,0.709963
1,0,1,1,0,10,g,0.722144
2,0,1,2,0,10,g,0.722641
3,0,1,3,0,10,g,0.728164
4,0,1,4,0,10,g,0.714984
5,0,1,5,0,10,g,0.724559
6,0,1,6,0,10,g,0.726268
7,0,1,7,0,10,g,0.442361
8,0,1,8,0,10,g,0.009794
9,0,1,9,0,10,g,0.009783
10,0,1,10,0,10,g,0.006025
11,0,1,11,0,10,g,0.006592
12,0,1,12,0,10,g,0.010986
13,0,1,13,0,10,g,0.005240
14,0,1,14,0,10,g,0.027894
0,0,1,0,0,11,g,0.626311
1,0,1,1,0,11,g,0.653744
2,0,1,2,0,11,g,0.639491
3,0,1,3,0,11,g,0.660754
4,0,1,4,0,11,g,0.661363
5,0,1,5,0,11,g,0.614671
6,0,1,6,0,11,g,0.698096
7,0,1,7,0,11,g,0.126791
8,0,1,8,0,11,g,0.010805
9,0,1,9,0,11,g,0.007282
10,0,1,10,0,11,g,0.005958
11,0,1,11,0,11,g,0.006734
12,0,1,12,0,11,g,0.009680
13,0,1,13,0,11,g,0.009801
14,0,1,14,0,11,g,0.011827
0,0,1,0,0,12,g,0.630128
1,0,1,1,0,12,g,0.572899
2,0,1,2,0,12,g,0.564260
3,0,1,3,0,12,g,0.578814
4,0,1,4,0,12,g,0.580342
5,0,1,5,0,12,g,0.534345
6,0,1,6,0,12,g,0.579106
7,0,1,7,0,12,g,0.185509
8,0,1,8,0,12,g,0.005897
9,0,1,9,0,12,g,0.006455
10,0,1,10,0,12,g,0.006266
11,0,1,11,0,12,g,0.010842
12,0,1,12,0,12,g,0.014480
13,0,1,13,0,12,g,0.006535
14,0,1,14,0,12,g,0.017014
0,0,1,0,0,13,g,0.638656
1,0,1,1,0,13,g,0.712998
2,0,1,2,0,13,g,0.720426
3,0,1,3,0,13,g,0.722673
4,0,1,4,0,13,g,0.711065
5,0,1,5,0,13,g,0.718241
6,0,1,6,0,13,g,0.714653
7,0,1,7,0,13,g,0.257016
8,0,1,8,0,13,g,0.018034
9,0,1,9,0,13,g,0.010219
10,0,1,10,0,13,g,0.005730
11,0,1,11,0,13,g,0.008961
12,0,1,12,0,13,g,0.008481
13,0,1,13,0,13,g,0.010942
14,0,1,14,0,13,g,0.013077
0,0,1,0,0,14,g,0.740214
1,0,1,1,0,14,g,0.722695
2,0,1,2,0,14,g,0.731869
3,0,1,3,0,14,g,0.736166
4,0,1,4,0,14,g,0.719725
5,0,1,5,0,14,g,0.729532
6,0,1,6,0,14,g,0.720234
7,0,1,7,0,14,g,0.163799
8,0,1,8,0,14,g,0.011364
9,0,1,9,0,14,g,0.006309
10,0,1,10,0,14,g,0.007780
11,0,1,11,0,14,g,0.009193
12,0,1,12,0,14,g,0.010691
13,0,1,13,0,14,g,0.010431
14,0,1,14,0,14,g,0.010080
0,0,1,0,0,15,g,0.658932
1,0,1,1,0,15,g,0.669796
2,0,1,2,0,15,g,0.655343
3,0,1,3,0,15,g,0.661744
4,0,1,4,0,15,g,0.659185
5,0,1,5,0,15,g,0.664395
6,0,1,6,0,15,g,0.661441
7,0,1,7,0,15,g,0.180339
8,0,1,8,0,15,g,0.013405
9,0,1,9,0,15,g,0.006301
10,0,1,10,0,15,g,0.008759
11,0,1,11,0,15,g,0.009538
12,0,1,12,0,15,g,0.012314
13,0,1,13,0,15,g,0.009947
14,0,1,14,0,15,g,0.012806
0,0,1,0,1,1,k,0.611858
1,0,1,1,1,1,k,0.665633
2,0,1,2,1,1,k,0.648407
3,0,1,3,1,1,k,0.639879
4,0,1,4,1,1,k,0.634323
5,0,1,5,1,1,k,0.632018
6,0,1,6,1,1,k,0.653975
7,0,1,7,1,1,k,0.299145
8,0,1,8,1,1,k,0.004362
9,0,1,9,1,1,k,0.006723
10,0,1,10,1,1,k,0.003572
11,0,1,11,1,1,k,0.009618
12,0,1,12,1,1,k,0.013439
13,0,1,13,1,1,k,0.007203
14,0,1,14,1,1,k,0.008185
0,0,1,0,1,1,k,0.631774
1,0,1,1,1,1,k,0.668784
2,0,1,2,1,1,k,0.636189
3,0,1,3,1,1,k,0.653345
4,0,1,4,1,1,k,0.656510
5,0,1,5,1,1,k,0.631562
6,0,1,6,1,1,k,0.660310
7,0,1,7,1,1,k,0.292962
8,0,1,8,1,1,k,0.008359
9,0,1,9,1,1,k,0.006725
10,0,1,10,1,1,k,0.004705
11,0,1,11,1,1,k,0.006766
12,0,1,12,1,1,k,0.009161
13,0,1,13,1,1,k,0.016347
14,0,1,14,1,1,k,0.011710
0,0,1,0,1,1,k,0.624782
1,0,1,1,1,1,k,0.659532
2,0,1,2,1,1,k,0.647492
3,0,1,3,1,1,k,0.641206
4,0,1,4,1,1,k,0.645594
5,0,1,5,1,1,k,0.632901
6,0,1,6,1,1,k,0.646827
7,0,1,7,1,1,k,0.285363
8,0,1,8,1,1,k,0.007794
9,0,1,9,1,1,k,0.005978
10,0,1,10,1,1,k,0.003935
11,0,1,11,1,1,k,0.007993
12,0,1,12,1,1,k,0.008083
13,0,1,13,1,1,k,0.009639
14,0,1,14,1,1,k,0.008342
0,0,1,0,2,1,k,0.513445
1,0,1,1,2,1,k,0.535240
2,0,1,2,2,1,k,0.535547
3,0,1,3,2,1,k,0.524036
4,0,1,4,2,1,k,0.531496
5,0,1,5,2,1,k,0.501689
6,0,1,6,2,1,k,0.498085
7,0,1,7,2,1,k,0.296629
8,0,1,8,2,1,k,0.007030
9,0,1,9,2,1,k,0.005433
10,0,1,10,2,1,k,0.006127
11,0,1,11,2,1,k,0.004559
12,0,1,12,2,1,k,0.008948
13,0,1,13,2,1,k,0.007923
