sg,sr,sg,dg,dr,dc,color,value
0,0,0,0,0,1,g,0.608053
1,0,0,1,0,1,g,0.706421
2,0,0,2,0,1,g,0.601282
3,0,0,3,0,1,g,0.620614
4,0,0,4,0,1,g,0.630298
5,0,0,5,0,1,g,0.619345
6,0,0,6,0,1,g,0.652877
7,0,0,7,0,1,g,0.292298
8,0,0,8,0,1,g,0.008424
9,0,0,9,0,1,g,0.008507
10,0,0,10,0,1,g,0.009077
11,0,0,11,0,1,g,0.010310
12,0,0,12,0,1,g,0.018045
13,0,0,13,0,1,g,0.008431
14,0,0,14,0,1,g,0.011491
0,0,0,0,0,2,g,0.662561
1,0,0,1,0,2,g,0.735980
2,0,0,2,0,2,g,0.722819
3,0,0,3,0,2,g,0.666768
4,0,0,4,0,2,g,0.686842
5,0,0,5,0,2,g,0.681868
6,0,0,6,0,2,g,0.680027
7,0,0,7,0,2,g,0.457324
8,0,0,8,0,2,g,0.008813
9,0,0,9,0,2,g,0.005847
10,0,0,10,0,2,g,0.005780
11,0,0,11,0,2,g,0.011875
12,0,0,12,0,2,g,0.011763
13,0,0,13,0,2,g,0.011647
14,0,0,14,0,2,g,0.016589
0,0,0,0,0,3,g,0.762522
1,0,0,1,0,3,g,0.763893
2,0,0,2,0,3,g,0.781487
3,0,0,3,0,3,g,0.764682
4,0,0,4,0,3,g,0.752474
5,0,0,5,0,3,g,0.777996
6,0,0,6,0,3,g,0.752683
7,0,0,7,0,3,g,0.467681
8,0,0,8,0,3,g,0.013649
9,0,0,9,0,3,g,0.006501
10,0,0,10,0,3,g,0.004791
11,0,0,11,0,3,g,0.011150
12,0,0,12,0,3,g,0.013125
13,0,0,13,0,3,g,0.011505
14,0,0,14,0,3,g,0.008360
0,0,0,0,0,4,g,0.719845
1,0,0,1,0,4,g,0.714791
2,0,0,2,0,4,g,0.733778
3,0,0,3,0,4,g,0.683882
4,0,0,4,0,4,g,0.716159
5,0,0,5,0,4,g,0.723747
6,0,0,6,0,4,g,0.722440
7,0,0,7,0,4,g,0.354749
8,0,0,8,0,4,g,0.011497
9,0,0,9,0,4,g,0.006287
10,0,0,10,0,4,g,0.005325
11,0,0,11,0,4,g,0.008626
12,0,0,12,0,4,g,0.018502
13,0,0,13,0,4,g,0.007113
14,0,0,14,0,4,g,0.011452
0,0,0,0,0,5,g,0.554515
1,0,0,1,0,5,g,0.524426
2,0,0,2,0,5,g,0.514487
3,0,0,3,0,5,g,0.667717
4,0,0,4,0,5,g,0.524436
5,0,0,5,0,5,g,0.476515
6,0,0,6,0,5,g,0.535714
7,0,0,7,0,5,g,0.306990
8,0,0,8,0,5,g,0.011439
9,0,0,9,0,5,g,0.004722
10,0,0,10,0,5,g,0.006151
11,0,0,11,0,5,g,0.014846
12,0,0,12,0,5,g,0.020975
13,0,0,13,0,5,g,0.012846
14,0,0,14,0,5,g,0.019396
0,0,0,0,0,6,g,0.604288
1,0,0,1,0,6,g,0.666615
2,0,0,2,0,6,g,0.652353
3,0,0,3,0,6,g,0.597624
4,0,0,4,0,6,g,0.659975
5,0,0,5,0,6,g,0.574946
6,0,0,6,0,6,g,0.620883
7,0,0,7,0,6,g,0.312512
8,0,0,8,0,6,g,0.009227
