sg,sr,sg,dg,dr,dc,color,ratio
0,0,0,0,0,1,g,0.689623
1,0,0,1,0,1,g,0.596131
2,0,0,2,0,1,g,0.003456
3,0,0,3,0,1,g,0.003027
4,0,0,4,0,1,g,0.002948
5,0,0,5,0,1,g,0.003231
6,0,0,6,0,1,g,0.001692
7,0,0,7,0,1,g,0.003121
8,0,0,8,0,1,g,0.004393
9,0,0,9,0,1,g,0.001261
10,0,0,10,0,1,g,0.004074
11,0,0,11,0,1,g,0.002831
12,0,0,12,0,1,g,0.002865
13,0,0,13,0,1,g,0.003630
14,0,0,14,0,1,g,0.004070
0,0,0,0,0,2,g,0.652141
1,0,0,1,0,2,g,0.530938
2,0,0,2,0,2,g,0.006224
3,0,0,3,0,2,g,0.003447
4,0,0,4,0,2,g,0.003778
5,0,0,5,0,2,g,0.003803
6,0,0,6,0,2,g,0.002429
7,0,0,7,0,2,g,0.003247
8,0,0,8,0,2,g,0.004440
9,0,0,9,0,2,g,0.002725
10,0,0,10,0,2,g,0.003853
11,0,0,11,0,2,g,0.002152
12,0,0,12,0,2,g,0.003915
13,0,0,13,0,2,g,0.003636
14,0,0,14,0,2,g,0.003296
0,0,0,0,0,3,g,0.561689
1,0,0,1,0,3,g,0.545443
2,0,0,2,0,3,g,0.006282
3,0,0,3,0,3,g,0.003206
4,0,0,4,0,3,g,0.003866
5,0,0,5,0,3,g,0.004543
6,0,0,6,0,3,g,0.004283
7,0,0,7,0,3,g,0.008595
8,0,0,8,0,3,g,0.004084
9,0,0,9,0,3,g,0.002483
10,0,0,10,0,3,g,0.004334
11,0,0,11,0,3,g,0.003715
12,0,0,12,0,3,g,0.003188
13,0,0,13,0,3,g,0.003306
14,0,0,14,0,3,g,0.003371
0,0,0,0,0,4,g,0.692726
1,0,0,1,0,4,g,0.562399
2,0,0,2,0,4,g,0.000786
3,0,0,3,0,4,g,0.003516
4,0,0,4,0,4,g,0.003348
5,0,0,5,0,4,g,0.000905
