sg,sr,sg,dg,dr,dc,color,ratio
6,0,0,6,0,4,g,0.001925
7,0,0,7,0,4,g,0.001985
8,0,0,8,0,4,g,0.001433
9,0,0,9,0,4,g,0.001006
10,0,0,10,0,4,g,0.002333
11,0,0,11,0,4,g,0.001656
12,0,0,12,0,4,g,0.001926
13,0,0,13,0,4,g,0.001775
14,0,0,14,0,4,g,0.002300
0,0,0,0,0,5,g,0.686892
1,0,0,1,0,5,g,0.559902
2,0,0,2,0,5,g,0.001987
3,0,0,3,0,5,g,0.003313
4,0,0,4,0,5,g,0.003116
5,0,0,5,0,5,g,0.001948
6,0,0,6,0,5,g,0.000466
7,0,0,7,0,5,g,0.002010
8,0,0,8,0,5,g,0.000743
9,0,0,9,0,5,g,0.001218
10,0,0,10,0,5,g,0.007225
11,0,0,11,0,5,g,0.002145
12,0,0,12,0,5,g,0.003627
13,0,0,13,0,5,g,0.001093
14,0,0,14,0,5,g,0.002306
0,0,0,0,0,6,g,0.684810
1,0,0,1,0,6,g,0.558720
2,0,0,2,0,6,g,0.001421
3,0,0,3,0,6,g,0.002352
4,0,0,4,0,6,g,0.002338
5,0,0,5,0,6,g,0.001633
6,0,0,6,0,6,g,0.001516
7,0,0,7,0,6,g,0.002175
8,0,0,8,0,6,g,0.000887
9,0,0,9,0,6,g,0.000467
10,0,0,10,0,6,g,0.000933
11,0,0,11,0,6,g,0.001887
12,0,0,12,0,6,g,0.002623
13,0,0,13,0,6,g,0.002312
14,0,0,14,0,6,g,0.001301
0,0,0,0,0,7,g,0.683703
1,0,0,1,0,7,g,0.556001
2,0,0,2,0,7,g,0.001523
3,0,0,3,0,7,g,0.002634
4,0,0,4,0,7,g,0.001711
5,0,0,5,0,7,g,0.001384
6,0,0,6,0,7,g,0.001046
7,0,0,7,0,7,g,0.004466
8,0,0,8,0,7,g,0.001734
9,0,0,9,0,7,g,0.001521
10,0,0,10,0,7,g,0.003417
11,0,0,11,0,7,g,0.001740
12,0,0,12,0,7,g,0.001687
13,0,0,13,0,7,g,0.001103
14,0,0,14,0,7,g,0.001158
0,0,0,0,0,8,g,0.687961
1,0,0,1,0,8,g,0.554864
2,0,0,2,0,8,g,0.001595
3,0,0,3,0,8,g,0.001779
4,0,0,4,0,8,g,0.002210
5,0,0,5,0,8,g,0.002142
6,0,0,6,0,8,g,0.002239
7,0,0,7,0,8,g,0.005214
8,0,0,8,0,8,g,0.001341
9,0,0,9,0,8,g,0.001180
10,0,0,10,0,8,g,0.001550
11,0,0,11,0,8,g,0.003897
12,0,0,12,0,8,g,0.001534
13,0,0,13,0,8,g,0.001492
14,0,0,14,0,8,g,0.002289
0,0,0,0,0,9,g,0.690556
1,0,0,1,0,9,g,0.556379
2,0,0,2,0,9,g,0.001606
3,0,0,3,0,9,g,0.001027
4,0,0,4,0,9,g,0.002803
5,0,0,5,0,9,g,0.002392
6,0,0,6,0,9,g,0.001512
7,0,0,7,0,9,g,0.002446
8,0,0,8,0,9,g,0.002371
9,0,0,9,0,9,g,0.001606
10,0,0,10,0,9,g,0.002077
11,0,0,11,0,9,g,0.000189
12,0,0,12,0,9,g,0.001273
13,0,0,13,0,9,g,0.002054
14,0,0,14,0,9,g,0.002608
0,0,0,0,0,10,g,0.683620
1,0,0,1,0,10,g,0.544665
2,0,0,2,0,10,g,0.001734
3,0,0,3,0,10,g,0.000485
4,0,0,4,0,10,g,0.002201
5,0,0,5,0,10,g,0.001295
6,0,0,6,0,10,g,0.001522
7,0,0,7,0,10,g,0.001988
8,0,0,8,0,10,g,0.000395
9,0,0,9,0,10,g,0.001027
10,0,0,10,0,10,g,0.001446
11,0,0,11,0,10,g,0.001853
12,0,0,12,0,10,g,0.000876
13,0,0,13,0,10,g,0.001725
14,0,0,14,0,10,g,0.001217
0,0,0,0,0,11,g,0.684483
1,0,0,1,0,11,g,0.538955
2,0,0,2,0,11,g,0.003402
3,0,0,3,0,11,g,0.003223
4,0,0,4,0,11,g,0.002895
5,0,0,5,0,11,g,0.002617
6,0,0,6,0,11,g,0.002296
7,0,0,7,0,11,g,0.001316
8,0,0,8,0,11,g,0.001269
9,0,0,9,0,11,g,0.000717
10,0,0,10,0,11,g,0.002684
11,0,0,11,0,11,g,0.003842
12,0,0,12,0,11,g,0.001665
13,0,0,13,0,11,g,0.002217
14,0,0,14,0,11,g,0.001850
0,0,0,0,0,12,g,0.691009
1,0,0,1,0,12,g,0.540867
2,0,0,2,0,12,g,0.002601
3,0,0,3,0,12,g,0.002333
4,0,0,4,0,12,g,0.001681
5,0,0,5,0,12,g,0.000921
6,0,0,6,0,12,g,0.002326
7,0,0,7,0,12,g,0.003176
8,0,0,8,0,12,g,0.001411
9,0,0,9,0,12,g,0.000279
10,0,0,10,0,12,g,0.003595
11,0,0,11,0,12,g,0.001377
12,0,0,12,0,12,g,0.003485
13,0,0,13,0,12,g,0.001879
14,0,0,14,0,12,g,0.002253
0,0,0,0,0,13,g,0.618967
1,0,0,1,0,13,g,0.538493
2,0,0,2,0,13,g,0.001238
3,0,0,3,0,13,g,0.002398
4,0,0,4,0,13,g,0.001330
5,0,0,5,0,13,g,0.001261
6,0,0,6,0,13,g,0.002632
7,0,0,7,0,13,g,0.005493
8,0,0,8,0,13,g,0.002478
9,0,0,9,0,13,g,0.000630
10,0,0,10,0,13,g,0.002108
11,0,0,11,0,13,g,0.001374
12,0,0,12,0,13,g,0.002896
13,0,0,13,0,13,g,0.001150
14,0,0,14,0,13,g,0.001909
0,0,0,0,0,14,g,0.646895
1,0,0,1,0,14,g,0.521050
2,0,0,2,0,14,g,0.002800
3,0,0,3,0,14,g,0.001027
4,0,0,4,0,14,g,0.001796
5,0,0,5,0,14,g,0.001886
6,0,0,6,0,14,g,0.001620
7,0,0,7,0,14,g,0.006899
8,0,0,8,0,14,g,0.000256
9,0,0,9,0,14,g,0.001195
10,0,0,10,0,14,g,0.002275
11,0,0,11,0,14,g,0.002292
12,0,0,12,0,14,g,0.002149
13,0,0,13,0,14,g,0.002022
14,0,0,14,0,14,g,0.002158
0,0,0,0,0,15,g,0.693587
1,0,0,1,0,15,g,0.549295
2,0,0,2,0,15,g,0.002195
3,0,0,3,0,15,g,0.002706
4,0,0,4,0,15,g,0.002464
5,0,0,5,0,15,g,0.001331
6,0,0,6,0,15,g,0.001671
7,0,0,7,0,15,g,0.003631
8,0,0,8,0,15,g,0.001991
9,0,0,9,0,15,g,0.001439
10,0,0,10,0,15,g,0.003625
11,0,0,11,0,15,g,0.002174
12,0,0,12,0,15,g,0.001859
13,0,0,13,0,15,g,0.000941
14,0,0,14,0,15,g,0.002314
0,0,0,0,1,0,k,0.640575
1,0,0,1,1,0,k,0.534569
2,0,0,2,1,0,k,0.001981
3,0,0,3,1,0,k,0.001619
4,0,0,4,1,0,k,0.002866
5,0,0,5,1,0,k,0.002084
6,0,0,6,1,0,k,0.000896
7,0,0,7,1,0,k,0.008458
8,0,0,8,1,0,k,0.000410
9,0,0,9,1,0,k,0.001445
10,0,0,10,1,0,k,0.004806
11,0,0,11,1,0,k,0.001281
12,0,0,12,1,0,k,0.001287
13,0,0,13,1,0,k,0.001073
14,0,0,14,1,0,k,0.002451
0,0,0,0,1,0,k,0.627042
1,0,0,1,1,0,k,0.537959
2,0,0,2,1,0,k,0.002158
3,0,0,3,1,0,k,0.002240
4,0,0,4,1,0,k,0.003657
5,0,0,5,1,0,k,0.002116
6,0,0,6,1,0,k,0.002949
7,0,0,7,1,0,k,0.004599
8,0,0,8,1,0,k,0.001735
9,0,0,9,1,0,k,0.000472
10,0,0,10,1,0,k,0.001884
11,0,0,11,1,0,k,0.002915
12,0,0,12,1,0,k,0.001565
13,0,0,13,1,0,k,0.001658
14,0,0,14,1,0,k,0.001978
0,0,0,0,1,0,k,0.625393
1,0,0,1,1,0,k,0.532606
2,0,0,2,1,0,k,0.003125
3,0,0,3,1,0,k,0.000942
4,0,0,4,1,0,k,0.003393
5,0,0,5,1,0,k,0.001488
6,0,0,6,1,0,k,0.002352
7,0,0,7,1,0,k,0.002323
8,0,0,8,1,0,k,0.002265
9,0,0,9,1,0,k,0.000272
10,0,0,10,1,0,k,0.001713
11,0,0,11,1,0,k,0.002626
12,0,0,12,1,0,k,0.002130
13,0,0,13,1,0,k,0.001545
14,0,0,14,1,0,k,0.003593
0,0,0,0,2,0,k,0.548156
1,0,0,1,2,0,k,0.461132
2,0,0,2,2,0,k,0.003212
3,0,0,3,2,0,k,0.002503
4,0,0,4,2,0,k,0.002225
5,0,0,5,2,0,k,0.002807
6,0,0,6,2,0,k,0.002223
7,0,0,7,2,0,k,0.001846
8,0,0,8,2,0,k,0.000822
9,0,0,9,2,0,k,0.001285
10,0,0,10,2,0,k,0.001804
11,0,0,11,2,0,k,0.002156
12,0,0,12,2,0,k,0.002164
13,0,0,13,2,0,k,0.000758
14,0,0,14,2,0,k,0.003213
0,0,0,0,2,0,k,0.540728
1,0,0,1,2,0,k,0.502750
2,0,0,2,2,0,k,0.001448
3,0,0,3,2,0,k,0.002399
4,0,0,4,2,0,k,0.002322
5,0,0,5,2,0,k,0.000533
6,0,0,6,2,0,k,0.001473
7,0,0,7,2,0,k,0.003332
8,0,0,8,2,0,k,0.000834
9,0,0,9,2,0,k,0.001527
10,0,0,10,2,0,k,0.001440
11,0,0,11,2,0,k,0.004433
12,0,0,12,2,0,k,0.001624
13,0,0,13,2,0,k,0.002489
14,0,0,14,2,0,k,0.002159
0,0,0,0,2,0,k,0.534484
1,0,0,1,2,0,k,0.460707
2,0,0,2,2,0,k,0.001228
3,0,0,3,2,0,k,0.003009
4,0,0,4,2,0,k,0.001944
5,0,0,5,2,0,k,0.002602
6,0,0,6,2,0,k,0.002302
7,0,0,7,2,0,k,0.002465
8,0,0,8,2,0,k,0.001458
9,0,0,9,2,0,k,0.001082
10,0,0,10,2,0,k,0.000935
11,0,0,11,2,0,k,0.001639
12,0,0,12,2,0,k,0.002174
13,0,0,13,2,0,k,0.002450
14,0,0,14,2,0,k,0.000888
0,0,0,0,3,0,k,0.541431
1,0,0,1,3,0,k,0.477188
2,0,0,2,3,0,k,0.000833
3,0,0,3,3,0,k,0.002113
4,0,0,4,3,0,k,0.002796
5,0,0,5,3,0,k,0.001042
6,0,0,6,3,0,k,0.001780
7,0,0,7,3,0,k,0.008624
8,0,0,8,3,0,k,0.001411
9,0,0,9,3,0,k,0.001531
10,0,0,10,3,0,k,0.001689
11,0,0,11,3,0,k,0.002147
12,0,0,12,3,0,k,0.002188
13,0,0,13,3,0,k,0.002926
14,0,0,14,3,0,k,0.002673
0,0,0,0,3,0,k,0.561272
1,0,0,1,3,0,k,0.492970
2,0,0,2,3,0,k,0.003769
3,0,0,3,3,0,k,0.001735
4,0,0,4,3,0,k,0.002071
5,0,0,5,3,0,k,0.001636
6,0,0,6,3,0,k,0.001903
7,0,0,7,3,0,k,0.004774
8,0,0,8,3,0,k,0.001587
9,0,0,9,3,0,k,0.001781
10,0,0,10,3,0,k,0.003288
11,0,0,11,3,0,k,0.001831
12,0,0,12,3,0,k,0.001815
13,0,0,13,3,0,k,0.001053
14,0,0,14,3,0,k,0.003025
0,0,0,0,3,0,k,0.536857
1,0,0,1,3,0,k,0.501690
2,0,0,2,3,0,k,0.002731
3,0,0,3,3,0,k,0.001992
4,0,0,4,3,0,k,0.000794
5,0,0,5,3,0,k,0.001334
6,0,0,6,3,0,k,0.003898
7,0,0,7,3,0,k,0.001234
8,0,0,8,3,0,k,0.001963
9,0,0,9,3,0,k,0.021863
10,0,0,10,3,0,k,0.001927
11,0,0,11,3,0,k,0.002763
12,0,0,12,3,0,k,0.001834
13,0,0,13,3,0,k,0.001782
14,0,0,14,3,0,k,0.001445
0,0,0,0,4,0,k,0.533418
1,0,0,1,4,0,k,0.498399
2,0,0,2,4,0,k,0.001406
3,0,0,3,4,0,k,0.004385
4,0,0,4,4,0,k,0.002936
5,0,0,5,4,0,k,0.001597
6,0,0,6,4,0,k,0.003558
7,0,0,7,4,0,k,0.002906
8,0,0,8,4,0,k,0.001307
9,0,0,9,4,0,k,0.001426
10,0,0,10,4,0,k,0.001259
11,0,0,11,4,0,k,0.002007
12,0,0,12,4,0,k,0.001602
13,0,0,13,4,0,k,0.001785
14,0,0,14,4,0,k,0.001739
0,0,0,0,4,0,k,0.518935
1,0,0,1,4,0,k,0.447729
2,0,0,2,4,0,k,0.009106
3,0,0,3,4,0,k,0.002510
4,0,0,4,4,0,k,0.001470
5,0,0,5,4,0,k,0.002483
6,0,0,6,4,0,k,0.002358
7,0,0,7,4,0,k,0.003117
8,0,0,8,4,0,k,0.002108
9,0,0,9,4,0,k,0.002147
10,0,0,10,4,0,k,0.010287
11,0,0,11,4,0,k,0.003000
12,0,0,12,4,0,k,0.003222
13,0,0,13,4,0,k,0.002003
14,0,0,14,4,0,k,0.002183
0,0,0,0,4,0,k,0.551660
1,0,0,1,4,0,k,0.470664
2,0,0,2,4,0,k,0.001576
3,0,0,3,4,0,k,0.002779
4,0,0,4,4,0,k,0.002183
5,0,0,5,4,0,k,0.001067
6,0,0,6,4,0,k,0.002372
7,0,0,7,4,0,k,0.002793
8,0,0,8,4,0,k,0.000945
9,0,0,9,4,0,k,0.001557
10,0,0,10,4,0,k,0.003115
11,0,0,11,4,0,k,0.003752
12,0,0,12,4,0,k,0.001730
13,0,0,13,4,0,k,0.000918
14,0,0,14,4,0,k,0.002799
0,0,0,0,5,0,k,0.607572
1,0,0,1,5,0,k,0.444510
2,0,0,2,5,0,k,0.001710
3,0,0,3,5,0,k,0.000634
4,0,0,4,5,0,k,0.001142
5,0,0,5,5,0,k,0.001364
6,0,0,6,5,0,k,0.001432
7,0,0,7,5,0,k,0.002396
8,0,0,8,5,0,k,0.001241
9,0,0,9,5,0,k,0.000207
10,0,0,10,5,0,k,0.002659
11,0,0,11,5,0,k,0.001973
12,0,0,12,5,0,k,0.002566
13,0,0,13,5,0,k,0.001717
14,0,0,14,5,0,k,0.001433
0,0,0,0,5,0,k,0.612281
1,0,0,1,5,0,k,0.447638
2,0,0,2,5,0,k,0.001439
3,0,0,3,5,0,k,0.001817
4,0,0,4,5,0,k,0.001670
5,0,0,5,5,0,k,0.001617
6,0,0,6,5,0,k,0.002592
7,0,0,7,5,0,k,0.003575
8,0,0,8,5,0,k,0.001368
9,0,0,9,5,0,k,0.000246
10,0,0,10,5,0,k,0.001878
11,0,0,11,5,0,k,0.002776
12,0,0,12,5,0,k,0.002072
13,0,0,13,5,0,k,0.003268
14,0,0,14,5,0,k,0.003379
0,0,0,0,5,0,k,0.598382
1,0,0,1,5,0,k,0.515721
2,0,0,2,5,0,k,0.001444
3,0,0,3,5,0,k,0.002348
4,0,0,4,5,0,k,0.002920
5,0,0,5,5,0,k,0.002722
6,0,0,6,5,0,k,0.002329
7,0,0,7,5,0,k,0.003149
8,0,0,8,5,0,k,0.001693
9,0,0,9,5,0,k,0.002764
10,0,0,10,5,0,k,0.002459
11,0,0,11,5,0,k,0.001876
12,0,0,12,5,0,k,0.002479
13,0,0,13,5,0,k,0.001946
14,0,0,14,5,0,k,0.002816
0,0,1,0,0,0,g,0.668182
1,0,1,1,0,0,g,0.594826
2,0,1,2,0,0,g,0.004060
3,0,1,3,0,0,g,0.005174
4,0,1,4,0,0,g,0.004619
5,0,1,5,0,0,g,0.002818
6,0,1,6,0,0,g,0.003153
7,0,1,7,0,0,g,0.004856
8,0,1,8,0,0,g,0.004400
9,0,1,9,0,0,g,0.021430
10,0,1,10,0,0,g,0.006724
11,0,1,11,0,0,g,0.003143
12,0,1,12,0,0,g,0.004405
13,0,1,13,0,0,g,0.005850
14,0,1,14,0,0,g,0.003900
0,0,1,0,0,2,g,0.722159
1,0,1,1,0,2,g,0.574916
2,0,1,2,0,2,g,0.003520
3,0,1,3,0,2,g,0.002813
4,0,1,4,0,2,g,0.003580
5,0,1,5,0,2,g,0.004040
6,0,1,6,0,2,g,0.003774
7,0,1,7,0,2,g,0.007106
8,0,1,8,0,2,g,0.001513
9,0,1,9,0,2,g,0.007837
10,0,1,10,0,2,g,0.003109
11,0,1,11,0,2,g,0.004375
12,0,1,12,0,2,g,0.003848
13,0,1,13,0,2,g,0.003066
14,0,1,14,0,2,g,0.004588
0,0,1,0,0,3,g,0.669058
1,0,1,1,0,3,g,0.537799
2,0,1,2,0,3,g,0.005524
3,0,1,3,0,3,g,0.004546
4,0,1,4,0,3,g,0.003081
5,0,1,5,0,3,g,0.004892
6,0,1,6,0,3,g,0.002421
7,0,1,7,0,3,g,0.006427
8,0,1,8,0,3,g,0.003188
9,0,1,9,0,3,g,0.003167
10,0,1,10,0,3,g,0.004565
11,0,1,11,0,3,g,0.004992
12,0,1,12,0,3,g,0.003660
13,0,1,13,0,3,g,0.001535
14,0,1,14,0,3,g,0.004917
0,0,1,0,0,4,g,0.554660
1,0,1,1,0,4,g,0.539479
2,0,1,2,0,4,g,0.003990
3,0,1,3,0,4,g,0.003455
4,0,1,4,0,4,g,0.002447
5,0,1,5,0,4,g,0.001875
6,0,1,6,0,4,g,0.002197
7,0,1,7,0,4,g,0.002375
8,0,1,8,0,4,g,0.004235
9,0,1,9,0,4,g,0.000979
10,0,1,10,0,4,g,0.003170
11,0,1,11,0,4,g,0.002425
12,0,1,12,0,4,g,0.002518
13,0,1,13,0,4,g,0.001607
14,0,1,14,0,4,g,0.003041
0,0,1,0,0,5,g,0.704392
1,0,1,1,0,5,g,0.572105
2,0,1,2,0,5,g,0.002355
3,0,1,3,0,5,g,0.002394
4,0,1,4,0,5,g,0.001390
5,0,1,5,0,5,g,0.002321
6,0,1,6,0,5,g,0.002413
7,0,1,7,0,5,g,0.001921
8,0,1,8,0,5,g,0.000936
9,0,1,9,0,5,g,0.000505
10,0,1,10,0,5,g,0.001609
11,0,1,11,0,5,g,0.001705
12,0,1,12,0,5,g,0.002179
13,0,1,13,0,5,g,0.000770
14,0,1,14,0,5,g,0.002385
0,0,1,0,0,6,g,0.698189
1,0,1,1,0,6,g,0.566720
2,0,1,2,0,6,g,0.000902
3,0,1,3,0,6,g,0.001673
4,0,1,4,0,6,g,0.002474
5,0,1,5,0,6,g,0.001627
6,0,1,6,0,6,g,0.002078
7,0,1,7,0,6,g,0.000612
8,0,1,8,0,6,g,0.001915
9,0,1,9,0,6,g,0.000828
10,0,1,10,0,6,g,0.002777
11,0,1,11,0,6,g,0.002800
12,0,1,12,0,6,g,0.001413
13,0,1,13,0,6,g,0.001039
14,0,1,14,0,6,g,0.002283
0,0,1,0,0,7,g,0.696755
1,0,1,1,0,7,g,0.564506
2,0,1,2,0,7,g,0.001319
3,0,1,3,0,7,g,0.002437
4,0,1,4,0,7,g,0.002430
5,0,1,5,0,7,g,0.001606
6,0,1,6,0,7,g,0.002566
7,0,1,7,0,7,g,0.003367
8,0,1,8,0,7,g,0.000651
9,0,1,9,0,7,g,0.000911
10,0,1,10,0,7,g,0.001078
11,0,1,11,0,7,g,0.002131
12,0,1,12,0,7,g,0.002290
13,0,1,13,0,7,g,0.001915
14,0,1,14,0,7,g,0.001156
0,0,1,0,0,8,g,0.700936
1,0,1,1,0,8,g,0.563275
2,0,1,2,0,8,g,0.002085
3,0,1,3,0,8,g,0.002492
4,0,1,4,0,8,g,0.000795
5,0,1,5,0,8,g,0.001615
6,0,1,6,0,8,g,0.003001
7,0,1,7,0,8,g,0.003572
8,0,1,8,0,8,g,0.003760
9,0,1,9,0,8,g,0.000554
10,0,1,10,0,8,g,0.002886
11,0,1,11,0,8,g,0.002792
12,0,1,12,0,8,g,0.002475
13,0,1,13,0,8,g,0.001367
14,0,1,14,0,8,g,0.002431
0,0,1,0,0,9,g,0.701509
1,0,1,1,0,9,g,0.560192
2,0,1,2,0,9,g,0.002929
3,0,1,3,0,9,g,0.001754
4,0,1,4,0,9,g,0.001957
5,0,1,5,0,9,g,0.001898
6,0,1,6,0,9,g,0.001844
7,0,1,7,0,9,g,0.002286
8,0,1,8,0,9,g,0.000329
9,0,1,9,0,9,g,0.001089
10,0,1,10,0,9,g,0.003392
11,0,1,11,0,9,g,0.001326
12,0,1,12,0,9,g,0.001445
13,0,1,13,0,9,g,0.000935
14,0,1,14,0,9,g,0.000774
0,0,1,0,0,10,g,0.699182
1,0,1,1,0,10,g,0.556133
2,0,1,2,0,10,g,0.003831
3,0,1,3,0,10,g,0.002957
4,0,1,4,0,10,g,0.003049
5,0,1,5,0,10,g,0.001049
6,0,1,6,0,10,g,0.001557
7,0,1,7,0,10,g,0.005096
8,0,1,8,0,10,g,0.003125
9,0,1,9,0,10,g,0.006377
10,0,1,10,0,10,g,0.001293
11,0,1,11,0,10,g,0.002406
12,0,1,12,0,10,g,0.001808
13,0,1,13,0,10,g,0.002653
14,0,1,14,0,10,g,0.002027
0,0,1,0,0,11,g,0.698256
1,0,1,1,0,11,g,0.547291
2,0,1,2,0,11,g,0.002205
3,0,1,3,0,11,g,0.002199
4,0,1,4,0,11,g,0.001500
5,0,1,5,0,11,g,0.002347
6,0,1,6,0,11,g,0.001704
7,0,1,7,0,11,g,0.000968
8,0,1,8,0,11,g,0.001169
9,0,1,9,0,11,g,0.002090
10,0,1,10,0,11,g,0.002241
11,0,1,11,0,11,g,0.001940
12,0,1,12,0,11,g,0.001738
13,0,1,13,0,11,g,0.001128
14,0,1,14,0,11,g,0.003158
0,0,1,0,0,12,g,0.699441
1,0,1,1,0,12,g,0.544355
2,0,1,2,0,12,g,0.000786
3,0,1,3,0,12,g,0.001274
4,0,1,4,0,12,g,0.001800
5,0,1,5,0,12,g,0.002057
6,0,1,6,0,12,g,0.002301
7,0,1,7,0,12,g,0.001045
8,0,1,8,0,12,g,0.001895
9,0,1,9,0,12,g,0.000741
10,0,1,10,0,12,g,0.003056
11,0,1,11,0,12,g,0.002441
12,0,1,12,0,12,g,0.002567
13,0,1,13,0,12,g,0.001494
14,0,1,14,0,12,g,0.001524
0,0,1,0,0,13,g,0.703395
1,0,1,1,0,13,g,0.547381
2,0,1,2,0,13,g,0.001553
3,0,1,3,0,13,g,0.004403
4,0,1,4,0,13,g,0.001735
5,0,1,5,0,13,g,0.001676
6,0,1,6,0,13,g,0.001953
7,0,1,7,0,13,g,0.001852
8,0,1,8,0,13,g,0.000924
9,0,1,9,0,13,g,0.000514
10,0,1,10,0,13,g,0.002792
11,0,1,11,0,13,g,0.002312
12,0,1,12,0,13,g,0.002630
13,0,1,13,0,13,g,0.001095
14,0,1,14,0,13,g,0.000749
0,0,1,0,0,14,g,0.654263
1,0,1,1,0,14,g,0.544440
2,0,1,2,0,14,g,0.001993
3,0,1,3,0,14,g,0.002356
4,0,1,4,0,14,g,0.002748
5,0,1,5,0,14,g,0.001611
6,0,1,6,0,14,g,0.002352
7,0,1,7,0,14,g,0.001120
8,0,1,8,0,14,g,0.004305
9,0,1,9,0,14,g,0.000786
10,0,1,10,0,14,g,0.001188
11,0,1,11,0,14,g,0.002478
12,0,1,12,0,14,g,0.001119
13,0,1,13,0,14,g,0.002617
14,0,1,14,0,14,g,0.002319
0,0,1,0,0,15,g,0.654211
1,0,1,1,0,15,g,0.517146
2,0,1,2,0,15,g,0.002356
3,0,1,3,0,15,g,0.003201
4,0,1,4,0,15,g,0.002919
5,0,1,5,0,15,g,0.001815
6,0,1,6,0,15,g,0.001945
7,0,1,7,0,15,g,0.001455
8,0,1,8,0,15,g,0.001567
9,0,1,9,0,15,g,0.019790
10,0,1,10,0,15,g,0.001905
11,0,1,11,0,15,g,0.001911
12,0,1,12,0,15,g,0.002031
13,0,1,13,0,15,g,0.002504
14,0,1,14,0,15,g,0.001090
0,0,1,0,1,1,k,0.568688
1,0,1,1,1,1,k,0.480504
2,0,1,2,1,1,k,0.000924
3,0,1,3,1,1,k,0.001260
4,0,1,4,1,1,k,0.002533
5,0,1,5,1,1,k,0.001224
6,0,1,6,1,1,k,0.003025
7,0,1,7,1,1,k,0.002781
8,0,1,8,1,1,k,0.006911
9,0,1,9,1,1,k,0.001000
10,0,1,10,1,1,k,0.001993
11,0,1,11,1,1,k,0.002610
12,0,1,12,1,1,k,0.002578
13,0,1,13,1,1,k,0.003242
14,0,1,14,1,1,k,0.002559
0,0,1,0,1,1,k,0.548174
1,0,1,1,1,1,k,0.479775
2,0,1,2,1,1,k,0.001678
3,0,1,3,1,1,k,0.002868
4,0,1,4,1,1,k,0.001323
5,0,1,5,1,1,k,0.002127
6,0,1,6,1,1,k,0.002535
7,0,1,7,1,1,k,0.004386
8,0,1,8,1,1,k,0.000607
9,0,1,9,1,1,k,0.000886
10,0,1,10,1,1,k,0.002646
11,0,1,11,1,1,k,0.002544
12,0,1,12,1,1,k,0.001839
13,0,1,13,1,1,k,0.001118
14,0,1,14,1,1,k,0.004270
0,0,1,0,1,1,k,0.537821
1,0,1,1,1,1,k,0.478020
2,0,1,2,1,1,k,0.001179
3,0,1,3,1,1,k,0.002235
4,0,1,4,1,1,k,0.002253
5,0,1,5,1,1,k,0.001473
6,0,1,6,1,1,k,0.001249
7,0,1,7,1,1,k,0.002709
8,0,1,8,1,1,k,0.002432
9,0,1,9,1,1,k,0.000456
10,0,1,10,1,1,k,0.002277
11,0,1,11,1,1,k,0.001694
12,0,1,12,1,1,k,0.001528
13,0,1,13,1,1,k,0.002043
14,0,1,14,1,1,k,0.003393
0,0,1,0,2,1,k,0.508093
1,0,1,1,2,1,k,0.443489
2,0,1,2,2,1,k,0.003470
3,0,1,3,2,1,k,0.002218
4,0,1,4,2,1,k,0.002330
5,0,1,5,2,1,k,0.002540
6,0,1,6,2,1,k,0.002550
7,0,1,7,2,1,k,0.000722
8,0,1,8,2,1,k,0.001286
9,0,1,9,2,1,k,0.001279
10,0,1,10,2,1,k,0.002701
11,0,1,11,2,1,k,0.002872
12,0,1,12,2,1,k,0.002184
13,0,1,13,2,1,k,0.002208
