g,r,c,n,jobid
4,2,11,2,1774533
4,2,11,1,1774533
4,2,9,1,1774533
4,2,8,3,1774533
4,2,7,3,1774533
6,5,4,2,1774533
6,5,4,1,2774533
6,5,4,0,2774533
6,5,3,3,2774533
6,5,3,2,1274533
6,5,3,0,1274533
6,5,2,3,1774533
6,5,2,2,2774533
6,5,2,1,2774533
6,5,2,0,1774533
6,2,8,2,1774533
8,1,9,0,1774533
8,1,8,3,1774533
8,1,8,2,1774533
8,1,8,1,1774533
8,1,8,0,1774533
8,1,6,3,1774533
8,1,6,2,1774533
8,1,6,1,1774533
8,1,6,0,1774533
8,1,5,2,1774533
8,1,5,0,1774533
8,1,3,3,1774533
8,1,3,2,1774533
8,1,3,1,1774533
8,1,3,0,1774533
8,1,2,3,1774533
8,1,2,2,1774533
8,1,2,1,1774533
8,1,2,0,1774533
8,1,0,3,1774533
8,1,0,2,1774533
8,1,0,1,1774533
8,1,0,0,1774533
8,0,15,3,1774533
8,0,15,2,1774533
8,0,15,1,1774533
8,0,15,0,1774533
8,0,14,3,1774533
8,0,14,2,1774533
8,0,14,1,1774533
8,0,14,0,1774533
8,0,13,3,1774533
8,0,13,2,1774533
8,0,13,1,1774533
8,0,13,0,1774533
8,0,12,3,1774533
8,0,12,2,1774533
8,0,12,1,1774533
8,0,12,0,1774533
8,0,11,3,1774533
8,0,11,2,1774533
8,0,11,1,1774533
8,0,11,0,1774533
8,0,10,3,1774533
8,0,10,2,1774533
8,0,10,1,1774533
8,0,10,0,1774533
8,0,9,3,1774533
8,0,9,2,1774533
8,0,9,1,1774533
8,0,9,0,1774533
8,0,8,3,1774533
8,0,8,2,1774533
8,0,8,1,1774533
8,0,8,0,1774533
8,0,7,3,1774533
8,0,7,2,1774533
8,0,7,1,1774533
8,0,7,0,1774533
8,0,6,3,1774533
8,0,6,2,1774533
8,0,6,1,1774533
8,0,6,0,1774533
8,0,5,3,1774533
8,0,5,2,1774533
8,0,5,1,1774533
8,0,5,0,1774533
8,0,4,3,1774533
8,0,4,2,1774533
8,0,4,1,1774533
8,0,4,0,1774533
8,0,3,3,1774533
8,0,3,2,1774533
8,0,3,1,1774533
8,0,3,0,1774533
8,0,2,3,1774533
8,0,2,2,1774533
8,0,2,1,1774533
8,0,2,0,1774533
7,5,15,3,1774533
7,5,15,2,1774533
7,5,15,1,1774533
7,5,15,0,1774533
7,5,14,3,1774533
7,5,14,2,1774533
7,5,14,1,1774533
7,5,14,0,1774533
7,5,13,3,1774533
7,5,13,2,1774533
7,5,13,1,1774533
7,5,13,0,1774533
7,5,12,3,1774533
7,5,12,2,1774533
7,5,12,1,1774533
7,5,3,3,1774533
7,5,3,2,1774533
7,5,3,1,1774533
7,5,3,0,1774533
7,5,2,3,1774533
7,5,2,2,1774533
7,5,2,1,1774533
7,5,2,0,1774533
7,5,1,3,1774533
7,5,1,2,1774533
7,5,1,1,1774533
7,5,1,0,1774533
7,5,0,3,1774533
7,5,0,2,1774533
7,5,0,1,1774533
7,5,0,0,1774533
7,4,7,3,1774533
7,4,7,2,1774533
7,4,7,1,1774533
7,4,7,0,1774533
6,1,13,3,1774533
6,1,14,1,1774533
6,1,15,0,1774533
2,2,7,0,1774533
9,3,5,2,1774533
1,2,8,2,1774533
3,5,13,2,1774533
3,5,13,3,1774533
13,1,2,2,1774533
6,1,5,2,1774533
6,1,11,3,1774533
6,1,12,0,1774533
6,1,12,1,1774533
6,1,12,2,1774533
6,1,13,0,1774533
6,1,13,1,1774533
6,2,4,2,1774533
6,2,4,1,1774533
6,2,4,0,1774533
6,2,3,3,1774533
6,2,3,2,1774533
6,2,3,1,1774533
11,0,11,3,1774533
11,0,11,2,1774533
11,0,11,1,1774533
11,0,11,0,1774533
11,0,9,3,1774533
11,0,8,3,1774533
11,0,8,2,1774533
9,3,4,1,1774533
9,3,4,0,1774533
9,3,3,3,1774533
9,3,3,2,1774533
9,3,3,1,1774533
9,3,3,0,1774533
9,3,2,3,1774533
9,3,2,2,1774533
9,3,2,1,1774533
9,3,2,0,1774533
9,3,1,3,1774533
9,3,1,2,1774533
9,3,1,1,1774533
9,3,1,0,1774533
9,3,0,3,1774533
9,3,0,2,1774533
9,3,0,1,1774533
9,3,0,0,1774533
9,2,15,3,1774533
9,2,15,2,1774533
9,2,15,1,1774533
9,2,15,0,1774533
9,2,14,3,1774533
9,2,14,1,1774533
9,2,14,0,1774533
9,2,13,3,1774533
9,2,13,2,1774533
9,2,13,1,1774533
9,2,13,0,1774533
9,2,12,3,1774533
9,2,12,2,1774533
9,2,12,1,1774533
9,2,12,0,1774533
9,2,11,3,1774533
9,2,11,2,1774533
9,2,11,1,1774533
9,2,11,0,1774533
9,2,10,3,1774533
9,2,10,2,1774533
9,2,10,1,1774533
9,2,10,0,1774533
9,2,9,3,1774533
9,2,9,2,1774533
9,2,9,1,1774533
9,2,9,0,1774533
9,2,8,3,1774533
9,2,8,2,1774533
9,2,8,1,1774533
9,2,8,0,1774533
9,2,7,3,1774533
9,2,7,2,1774533
9,2,7,1,1774533
9,2,7,0,1774533
9,2,6,3,1774533
9,2,6,2,1774533
9,2,6,1,1774533
9,2,6,0,1774533
9,2,5,3,1774533
9,2,5,2,1774533
9,2,5,1,1774533
9,2,5,0,1774533
9,2,4,3,1774533
9,2,4,0,1774533
9,2,3,3,1774533
9,2,3,2,1774533
9,2,3,1,1774533
9,2,3,0,1774533
9,2,2,3,1774533
9,2,2,2,1774533
9,2,2,1,1774533
9,2,2,0,1774533
9,2,1,3,1774533
9,2,1,2,1774533
9,2,1,1,1774533
9,2,1,0,1774533
9,2,0,3,1774533
9,2,0,2,1774533
9,2,0,1,1774533
