g,r,c,n,jobid
9,2,0,0,1774533
9,1,15,3,1774533
9,1,15,2,1774533
9,1,15,1,1774533
9,1,15,0,1774533
9,1,14,3,1774533
9,1,14,2,1774533
9,1,14,1,1774533
9,1,14,0,1774533
9,1,13,3,1774533
9,1,13,2,1774533
9,1,13,1,1774533
9,1,13,0,1774533
9,1,12,3,1774533
9,1,12,2,1774533
9,1,12,1,1774533
9,1,12,0,1774533
9,1,11,3,1774533
9,1,11,2,1774533
9,1,11,1,1774533
9,1,11,0,1774533
9,1,10,3,1774533
9,1,10,2,1774533
9,1,10,1,1774533
9,1,9,3,1774533
9,1,9,2,1774533
9,1,9,1,1774533
9,1,8,2,1774533
9,1,8,1,1774533
9,1,8,0,1774533
9,1,7,3,1774533
9,1,7,2,1774533
9,1,7,1,1774533
9,1,7,0,1774533
9,1,5,3,1774533
9,1,5,2,1774533
9,1,5,1,1774533
9,1,4,3,1774533
9,1,4,2,1774533
9,1,4,1,1774533
9,1,4,0,1774533
9,1,3,3,1774533
9,1,3,2,1774533
9,1,3,1,1774533
9,1,3,0,1774533
9,1,2,3,1774533
9,1,2,2,1774533
9,1,2,1,1774533
9,1,2,0,1774533
9,1,0,3,1774533
9,1,0,2,1774533
9,1,0,1,1774533
9,1,0,0,1774533
9,0,15,3,1774533
9,0,15,2,1774533
9,0,15,1,1774533
9,0,15,0,1774533
9,0,14,3,1774533
9,0,14,2,1774533
13,5,13,3,1774533
13,1,11,0,1774533
11,3,2,1,1774533
11,2,13,2,1774533
11,2,13,1,1774533
11,2,13,0,1774533
11,2,12,3,1774533
11,2,12,1,1774533
11,2,12,0,1774533
11,2,11,3,1774533
11,2,11,2,1774533
11,2,11,1,1774533
11,2,11,0,1774533
11,2,10,3,1774533
11,2,9,3,1774533
11,2,9,2,1774533
11,2,9,0,1774533
11,2,8,3,1774533
11,2,8,2,1774533
11,2,8,1,1774533
6,1,2,0,1774533
6,1,2,1,1774533
6,1,2,2,1774533
6,1,2,3,1774533
6,1,3,0,1774533
6,1,3,1,1774533
6,1,3,2,1774533
6,1,3,3,1774533
6,1,4,0,1774533
6,1,4,2,1774533
6,1,4,3,1774533
6,1,5,0,1774533
6,1,5,1,1774533
6,1,5,3,1774533
6,1,6,0,1774533
6,1,6,1,1774533
6,1,6,2,1774533
6,1,6,3,1774533
6,1,7,0,1774533
6,1,7,1,1774533
6,1,7,2,1774533
6,1,7,3,1774533
6,1,8,0,1774533
6,1,8,1,1774533
6,1,8,2,1774533
6,1,8,3,1774533
6,1,9,0,1774533
6,1,9,1,1774533
6,1,9,2,1774533
6,1,9,3,1774533
6,1,10,1,1774533
6,1,10,2,1774533
6,1,10,3,1774533
6,1,11,0,1774533
6,1,11,1,1774533
6,1,11,2,1774533
6,1,14,2,1774533
6,1,14,0,1774533
14,4,11,2,1774533
14,4,11,1,1774533
14,4,11,0,1774533
14,4,10,3,1774533
14,4,10,1,1774533
14,4,10,0,1774533
14,4,9,3,1774533
14,4,9,2,1774533
14,4,9,1,1774533
14,4,9,0,1774533
14,4,8,3,1774533
14,4,8,2,1774533
14,4,8,1,1774533
14,4,8,0,1774533
14,4,7,3,1774533
14,4,7,2,1774533
14,4,7,1,1774533
14,4,7,0,1774533
14,4,6,3,1774533
14,4,6,2,1774533
14,4,6,1,1774533
14,4,6,0,1774533
14,4,5,3,1774533
14,4,5,2,1774533
14,4,5,1,1774533
14,4,5,0,1774533
14,4,4,3,1774533
14,4,4,2,1774533
14,4,4,1,1774533
14,4,4,0,1774533
14,4,3,3,1774533
14,4,3,2,1774533
14,4,3,1,1774533
14,4,3,0,1774533
14,4,2,3,1774533
14,4,2,2,1774533
14,4,2,1,1774533
14,4,2,0,1774533
14,4,1,3,1774533
14,4,1,2,1774533
14,4,1,1,1774533
14,4,1,0,1774533
14,4,0,3,1774533
14,4,0,1,1774533
14,4,0,0,1774533
14,3,15,3,1774533
14,3,15,2,1774533
14,3,15,1,1774533
1,5,6,3,1774533
1,4,0,1,1774533
1,4,0,0,1774533
1,3,15,3,1774533
1,3,15,2,1774533
1,3,15,1,1774533
1,3,15,0,1774533
1,3,14,2,1774533
1,3,14,1,1774533
1,3,14,0,1774533
1,3,13,3,1774533
1,3,13,2,1774533
1,3,13,1,1774533
1,3,13,0,1774533
1,3,12,3,1774533
1,3,12,2,1774533
1,3,12,1,1774533
1,3,12,0,1774533
1,3,11,2,1774533
1,3,11,1,1774533
1,3,11,0,1774533
1,3,10,2,1774533
1,3,10,1,1774533
1,3,10,0,1774533
1,3,9,2,1774533
15,2,1,3,1774533
15,2,0,3,1774533
15,1,15,3,1774533
15,1,14,3,1774533
15,1,12,3,1774533
15,1,10,3,1774533
15,1,7,3,1774533
15,1,6,3,1774533
15,1,3,3,1774533
15,1,2,3,1774533
15,0,14,3,1774533
15,0,11,0,1774533
14,1,9,1,1774533
14,1,10,1,1774533
15,0,5,0,1774533
15,1,5,3,1774533
8,2,0,1,1774533
11,1,14,3,1774533
11,1,15,0,1774533
11,3,9,3,1774533
5,5,14,2,1774533
5,5,14,1,1774533
5,5,14,0,1774533
5,5,13,2,1774533
5,5,13,1,1774533
5,5,13,0,1774533
5,5,12,3,1774533
5,5,12,2,1774533
5,5,12,1,1774533
5,5,12,0,1774533
5,5,11,3,1774533
5,5,11,2,1774533
5,5,11,1,1774533
5,5,11,0,1774533
5,5,10,3,1774533
5,5,10,2,1774533
5,5,10,1,1774533
5,5,10,0,1774533
5,5,9,3,1774533
5,5,9,2,1774533
5,5,9,1,1774533
5,5,8,3,1774533
5,5,8,2,1774533
5,5,8,1,1774533
5,5,8,0,1774533
5,5,7,2,1774533
5,5,7,1,1774533
5,5,7,0,1774533
5,5,6,3,1774533
5,5,6,2,1774533
5,5,6,1,1774533
5,5,5,2,1774533
5,5,5,1,1774533
5,5,4,3,1774533
5,5,4,2,1774533
5,5,4,1,1774533
5,5,4,0,1774533
5,5,3,3,1774533
5,5,3,2,1774533
5,5,3,1,1774533
5,5,2,2,1774533
5,5,2,1,1774533
5,5,2,0,1774533
5,5,1,3,1774533
5,5,1,2,1774533
5,5,1,1,1774533
5,5,1,0,1774533
5,5,0,3,1774533
5,5,0,2,1774533
5,5,0,1,1774533
5,5,0,0,1774533
5,4,15,3,1774533
5,4,15,2,1774533
5,4,15,1,1774533
5,4,15,0,1774533
5,4,14,2,1774533
5,4,14,1,1774533
5,4,14,0,1774533
5,4,13,3,1774533
5,4,13,2,1774533
5,4,13,1,1774533
5,4,13,0,1774533
5,4,12,3,1774533
5,4,12,2,1774533
5,4,12,1,1774533
