sg,sr,sc,sp,color,dg,dr,dc,dp
0,0,0,0,g,0,0,6,8
0,0,0,1,b,1,0,0,1
0,0,0,2,b,1,0,0,2
0,0,0,3,b,9,0,0,2
0,0,0,7,k,0,5,0,14
0,0,0,8,g,0,0,2,17
0,0,0,9,g,0,0,7,0
0,0,0,10,b,9,0,0,1
0,0,0,14,k,0,5,0,7
0,0,0,15,k,0,5,0,15
0,0,0,16,g,0,0,4,18
0,0,0,17,g,0,0,3,18
0,0,0,18,g,0,0,5,17
0,0,0,19,g,0,0,1,16
0,0,0,20,k,0,4,0,7
0,0,0,21,k,0,4,0,15
0,0,0,22,k,0,4,0,14
0,0,0,23,k,0,3,0,36
0,0,0,24,g,0,0,12,37
0,0,0,25,g,0,0,11,31
0,0,0,26,g,0,0,8,29
0,0,0,27,g,0,0,9,30
0,0,0,28,k,0,3,0,28
0,0,0,29,k,0,2,0,37
0,0,0,30,k,0,2,0,30
0,0,0,31,k,0,1,0,37
0,0,0,32,g,0,0,13,31
0,0,0,33,g,0,0,14,38
0,0,0,34,g,0,0,15,31
0,0,0,35,g,0,0,10,37
0,0,0,36,k,0,3,0,23
0,0,0,37,k,0,2,0,29
0,0,0,38,k,0,1,0,30
0,0,0,39,k,0,1,0,29
0,0,1,0,g,0,0,3,9
0,0,1,1,b,1,0,1,1
0,0,1,2,b,1,0,1,2
0,0,1,3,b,9,0,1,2
0,0,1,7,k,0,5,1,14
0,0,1,8,g,0,0,6,0
0,0,1,9,g,0,0,5,0
0,0,1,10,b,9,0,1,1
0,0,1,14,k,0,5,1,7
0,0,1,15,k,0,5,1,15
0,0,1,16,g,0,0,0,19
0,0,1,17,g,0,0,4,0
0,0,1,18,g,0,0,7,19
0,0,1,19,g,0,0,2,16
0,0,1,20,k,0,4,1,7
0,0,1,21,k,0,4,1,15
0,0,1,22,k,0,4,1,14
0,0,1,23,k,0,3,1,36
0,0,1,24,g,0,0,10,29
0,0,1,25,g,0,0,9,31
0,0,1,26,g,0,0,13,28
0,0,1,27,g,0,0,14,36
0,0,1,28,k,0,3,1,28
0,0,1,29,k,0,2,1,37
0,0,1,30,k,0,2,1,30
0,0,1,31,k,0,1,1,37
0,0,1,32,g,0,0,15,39
