sg,sr,sc,sp,color,dg,dr,dc,dp
0,0,1,33,g,0,0,11,29
0,0,1,34,g,0,0,12,30
0,0,1,35,g,0,0,8,28
0,0,1,36,k,0,3,1,23
0,0,1,37,k,0,2,1,29
0,0,1,38,k,0,1,1,30
0,0,1,39,k,0,1,1,29
0,0,2,0,g,0,0,6,9
0,0,2,1,b,2,0,0,1
0,0,2,2,b,2,0,0,2
0,0,2,3,b,10,0,0,2
0,0,2,7,k,0,5,2,14
0,0,2,8,g,0,0,7,17
0,0,2,9,g,0,0,4,9
0,0,2,10,b,10,0,0,1
0,0,2,14,k,0,5,2,7
0,0,2,15,k,0,5,2,15
0,0,2,16,g,0,0,1,19
0,0,2,17,g,0,0,0,8
0,0,2,18,g,0,0,5,8
0,0,2,19,g,0,0,3,16
0,0,2,20,k,0,4,2,7
0,0,2,21,k,0,4,2,15
0,0,2,22,k,0,4,2,14
0,0,2,23,k,0,3,2,36
0,0,2,24,g,0,0,13,37
0,0,2,25,g,0,0,12,31
0,0,2,26,g,0,0,10,28
0,0,2,27,g,0,0,11,36
0,0,2,28,k,0,3,2,28
0,0,2,29,k,0,2,2,37
0,0,2,30,k,0,2,2,30
0,0,2,31,k,0,1,2,37
0,0,2,32,g,0,0,9,36
0,0,2,33,g,0,0,8,36
0,0,2,34,g,0,0,15,38
0,0,2,35,g,0,0,14,30
0,0,2,36,k,0,3,2,23
0,0,2,37,k,0,2,2,29
0,0,2,38,k,0,1,2,30
0,0,2,39,k,0,1,2,29
0,0,3,0,g,0,0,5,9
0,0,3,1,b,2,0,1,1
0,0,3,2,b,2,0,1,2
0,0,3,3,b,10,0,1,2
0,0,3,7,k,0,5,3,14
0,0,3,8,g,0,0,6,18
0,0,3,9,g,0,0,1,0
0,0,3,10,b,10,0,1,1
0,0,3,14,k,0,5,3,7
0,0,3,15,k,0,5,3,15
0,0,3,16,g,0,0,2,19
0,0,3,17,g,0,0,7,8
0,0,3,18,g,0,0,0,17
0,0,3,19,g,0,0,4,16
0,0,3,20,k,0,4,3,7
0,0,3,21,k,0,4,3,15
0,0,3,22,k,0,4,3,14
0,0,3,23,k,0,3,3,36
0,0,3,24,g,0,0,15,37
0,0,3,25,g,0,0,12,29
0,0,3,26,g,0,0,14,31
0,0,3,27,g,0,0,10,36
0,0,3,28,k,0,3,3,28
0,0,3,29,k,0,2,3,37
0,0,3,30,k,0,2,3,30
0,0,3,31,k,0,1,3,37
0,0,3,32,g,0,0,8,30
0,0,3,33,g,0,0,9,38
0,0,3,34,g,0,0,13,29
0,0,3,35,g,0,0,11,30
0,0,3,36,k,0,3,3,23
0,0,3,37,k,0,2,3,29
0,0,3,38,k,0,1,3,30
0,0,3,39,k,0,1,3,29
0,0,4,0,g,0,0,1,17
0,0,4,1,b,3,0,0,1
0,0,4,2,b,3,0,0,2
0,0,4,3,b,11,0,0,2
0,0,4,7,k,0,5,4,14
0,0,4,8,g,0,0,6,17
0,0,4,9,g,0,0,2,9
0,0,4,10,b,11,0,0,1
0,0,4,14,k,0,5,4,7
0,0,4,15,k,0,5,4,15
0,0,4,16,g,0,0,3,19
0,0,4,17,g,0,0,7,18
0,0,4,18,g,0,0,0,16
0,0,4,19,g,0,0,5,16
0,0,4,20,k,0,4,4,7
0,0,4,21,k,0,4,4,15
0,0,4,22,k,0,4,4,14
0,0,4,23,k,0,3,4,36
0,0,4,24,g,0,0,9,37
0,0,4,25,g,0,0,14,39
0,0,4,26,g,0,0,12,28
0,0,4,27,g,0,0,13,36
0,0,4,28,k,0,3,4,28
0,0,4,29,k,0,2,4,37
0,0,4,30,k,0,2,4,30
0,0,4,31,k,0,1,4,37
0,0,4,32,g,0,0,10,31
0,0,4,33,g,0,0,8,31
0,0,4,34,g,0,0,15,29
0,0,4,35,g,0,0,11,28
0,0,4,36,k,0,3,4,23
0,0,4,37,k,0,2,4,29
0,0,4,38,k,0,1,4,30
0,0,4,39,k,0,1,4,29
0,0,5,0,g,0,0,1,9
0,0,5,1,b,3,0,1,1
0,0,5,2,b,3,0,1,2
0,0,5,3,b,11,0,1,2
0,0,5,7,k,0,5,5,14
0,0,5,8,g,0,0,2,18
0,0,5,9,g,0,0,3,0
0,0,5,10,b,11,0,1,1
0,0,5,14,k,0,5,5,7
0,0,5,15,k,0,5,5,15
0,0,5,16,g,0,0,4,19
0,0,5,17,g,0,0,0,18
0,0,5,18,g,0,0,7,9
0,0,5,19,g,0,0,6,16
0,0,5,20,k,0,4,5,7
0,0,5,21,k,0,4,5,15
0,0,5,22,k,0,4,5,14
0,0,5,23,k,0,3,5,36
0,0,5,24,g,0,0,15,28
0,0,5,25,g,0,0,14,37
0,0,5,26,g,0,0,9,29
0,0,5,27,g,0,0,12,36
0,0,5,28,k,0,3,5,28
0,0,5,29,k,0,2,5,37
0,0,5,30,k,0,2,5,30
0,0,5,31,k,0,1,5,37
0,0,5,32,g,0,0,8,39
0,0,5,33,g,0,0,10,39
0,0,5,34,g,0,0,11,38
0,0,5,35,g,0,0,13,30
0,0,5,36,k,0,3,5,23
0,0,5,37,k,0,2,5,29
0,0,5,38,k,0,1,5,30
0,0,5,39,k,0,1,5,29
0,0,6,0,g,0,0,1,8
0,0,6,1,b,4,0,0,1
0,0,6,2,b,4,0,0,2
0,0,6,3,b,13,0,0,2
0,0,6,7,k,0,5,6,14
0,0,6,8,g,0,0,0,0
0,0,6,9,g,0,0,2,0
0,0,6,10,b,13,0,0,1
0,0,6,14,k,0,5,6,7
0,0,6,15,k,0,5,6,15
0,0,6,16,g,0,0,5,19
0,0,6,17,g,0,0,4,8
0,0,6,18,g,0,0,3,8
0,0,6,19,g,0,0,7,16
0,0,6,20,k,0,4,6,7
0,0,6,21,k,0,4,6,15
0,0,6,22,k,0,4,6,14
0,0,6,23,k,0,3,6,36
0,0,6,24,g,0,0,11,37
0,0,6,25,g,0,0,10,30
0,0,6,26,g,0,0,15,36
0,0,6,27,g,0,0,13,38
0,0,6,28,k,0,3,6,28
0,0,6,29,k,0,2,6,37
0,0,6,30,k,0,2,6,30
0,0,6,31,k,0,1,6,37
0,0,6,32,g,0,0,12,39
0,0,6,33,g,0,0,8,38
0,0,6,34,g,0,0,14,29
0,0,6,35,g,0,0,9,28
0,0,6,36,k,0,3,6,23
0,0,6,37,k,0,2,6,29
0,0,6,38,k,0,1,6,30
0,0,6,39,k,0,1,6,29
0,0,7,0,g,0,0,0,9
0,0,7,1,b,4,0,1,1
0,0,7,2,b,4,0,1,2
0,0,7,3,b,13,0,1,2
0,0,7,7,k,0,5,7,14
0,0,7,8,g,0,0,3,17
0,0,7,9,g,0,0,5,18
0,0,7,10,b,13,0,1,1
0,0,7,14,k,0,5,7,7
0,0,7,15,k,0,5,7,15
0,0,7,16,g,0,0,6,19
0,0,7,17,g,0,0,2,8
0,0,7,18,g,0,0,4,17
0,0,7,19,g,0,0,1,18
0,0,7,20,k,0,4,7,7
0,0,7,21,k,0,4,7,15
0,0,7,22,k,0,4,7,14
0,0,7,23,k,0,3,7,36
0,0,7,24,g,0,0,8,37
0,0,7,25,g,0,0,15,30
0,0,7,26,g,0,0,12,38
0,0,7,27,g,0,0,13,39
0,0,7,28,k,0,3,7,28
0,0,7,29,k,0,2,7,37
0,0,7,30,k,0,2,7,30
0,0,7,31,k,0,1,7,37
0,0,7,32,g,0,0,9,39
0,0,7,33,g,0,0,10,38
0,0,7,34,g,0,0,11,39
0,0,7,35,g,0,0,14,28
0,0,7,36,k,0,3,7,23
0,0,7,37,k,0,2,7,29
0,0,7,38,k,0,1,7,30
0,0,7,39,k,0,1,7,29
0,0,8,0,k,0,5,8,0
0,0,8,4,b,14,0,0,1
0,0,8,5,b,5,0,0,1
0,0,8,6,b,5,0,0,2
0,0,8,7,g,0,0,14,15
0,0,8,8,k,0,5,8,9
0,0,8,9,k,0,5,8,8
0,0,8,13,b,14,0,0,2
0,0,8,14,g,0,0,15,7
0,0,8,15,g,0,0,11,21
0,0,8,16,k,0,3,8,16
0,0,8,17,k,0,4,8,0
0,0,8,18,k,0,4,8,8
0,0,8,19,k,0,4,8,9
0,0,8,20,g,0,0,9,23
0,0,8,21,g,0,0,13,22
0,0,8,22,g,0,0,10,22
0,0,8,23,g,0,0,12,21
0,0,8,24,k,0,1,8,26
0,0,8,25,k,0,2,8,34
0,0,8,26,k,0,2,8,26
0,0,8,27,k,0,3,8,35
0,0,8,28,g,0,0,1,35
0,0,8,29,g,0,0,0,26
0,0,8,30,g,0,0,3,32
0,0,8,31,g,0,0,4,33
0,0,8,32,k,0,1,8,25
0,0,8,33,k,0,1,8,34
0,0,8,34,k,0,2,8,25
0,0,8,35,k,0,3,8,27
0,0,8,36,g,0,0,2,33
0,0,8,37,g,0,0,7,24
0,0,8,38,g,0,0,6,33
0,0,8,39,g,0,0,5,32
0,0,9,0,k,0,5,9,0
0,0,9,4,b,14,0,1,1
0,0,9,5,b,5,0,1,1
0,0,9,6,b,5,0,1,2
0,0,9,7,g,0,0,11,14
0,0,9,8,k,0,5,9,9
0,0,9,9,k,0,5,9,8
0,0,9,13,b,14,0,1,2
0,0,9,14,g,0,0,13,7
0,0,9,15,g,0,0,14,7
0,0,9,16,k,0,3,9,16
0,0,9,17,k,0,4,9,0
0,0,9,18,k,0,4,9,8
0,0,9,19,k,0,4,9,9
0,0,9,20,g,0,0,10,23
0,0,9,21,g,0,0,15,20
0,0,9,22,g,0,0,12,7
0,0,9,23,g,0,0,8,20
0,0,9,24,k,0,1,9,26
0,0,9,25,k,0,2,9,34
0,0,9,26,k,0,2,9,26
0,0,9,27,k,0,3,9,35
0,0,9,28,g,0,0,6,35
0,0,9,29,g,0,0,5,26
0,0,9,30,g,0,0,0,27
0,0,9,31,g,0,0,1,25
0,0,9,32,k,0,1,9,25
0,0,9,33,k,0,1,9,34
0,0,9,34,k,0,2,9,25
0,0,9,35,k,0,3,9,27
0,0,9,36,g,0,0,2,32
0,0,9,37,g,0,0,4,24
0,0,9,38,g,0,0,3,33
0,0,9,39,g,0,0,7,32
0,0,10,0,k,0,5,10,0
0,0,10,4,b,15,0,0,1
0,0,10,5,b,6,0,0,1
0,0,10,6,b,6,0,0,2
0,0,10,7,g,0,0,14,14
0,0,10,8,k,0,5,10,9
0,0,10,9,k,0,5,10,8
0,0,10,13,b,15,0,0,2
0,0,10,14,g,0,0,12,14
0,0,10,15,g,0,0,15,22
0,0,10,16,k,0,3,10,16
0,0,10,17,k,0,4,10,0
0,0,10,18,k,0,4,10,8
0,0,10,19,k,0,4,10,9
0,0,10,20,g,0,0,11,23
0,0,10,21,g,0,0,13,15
0,0,10,22,g,0,0,8,22
0,0,10,23,g,0,0,9,20
0,0,10,24,k,0,1,10,26
0,0,10,25,k,0,2,10,34
0,0,10,26,k,0,2,10,26
0,0,10,27,k,0,3,10,35
0,0,10,28,g,0,0,2,26
0,0,10,29,g,0,0,1,24
0,0,10,30,g,0,0,6,25
0,0,10,31,g,0,0,4,32
0,0,10,32,k,0,1,10,25
0,0,10,33,k,0,1,10,34
0,0,10,34,k,0,2,10,25
0,0,10,35,k,0,3,10,27
0,0,10,36,g,0,0,3,27
0,0,10,37,g,0,0,0,35
0,0,10,38,g,0,0,7,33
0,0,10,39,g,0,0,5,33
0,0,11,0,k,0,5,11,0
0,0,11,4,b,15,0,1,1
0,0,11,5,b,6,0,1,1
0,0,11,6,b,6,0,1,2
0,0,11,7,g,0,0,13,14
0,0,11,8,k,0,5,11,9
0,0,11,9,k,0,5,11,8
0,0,11,13,b,15,0,1,2
0,0,11,14,g,0,0,9,7
0,0,11,15,g,0,0,14,21
0,0,11,16,k,0,3,11,16
0,0,11,17,k,0,4,11,0
0,0,11,18,k,0,4,11,8
0,0,11,19,k,0,4,11,9
0,0,11,20,g,0,0,12,23
0,0,11,21,g,0,0,8,15
0,0,11,22,g,0,0,15,15
0,0,11,23,g,0,0,10,20
0,0,11,24,k,0,1,11,26
0,0,11,25,k,0,2,11,34
0,0,11,26,k,0,2,11,26
0,0,11,27,k,0,3,11,35
0,0,11,28,g,0,0,4,35
0,0,11,29,g,0,0,1,33
0,0,11,30,g,0,0,3,35
0,0,11,31,g,0,0,0,25
0,0,11,32,k,0,1,11,25
0,0,11,33,k,0,1,11,34
0,0,11,34,k,0,2,11,25
0,0,11,35,k,0,3,11,27
0,0,11,36,g,0,0,2,27
0,0,11,37,g,0,0,6,24
0,0,11,38,g,0,0,5,34
0,0,11,39,g,0,0,7,34
0,0,12,0,k,0,5,12,0
0,0,12,5,b,7,0,0,1
0,0,12,6,b,7,0,0,2
0,0,12,7,g,0,0,9,22
0,0,12,8,k,0,5,12,9
0,0,12,9,k,0,5,12,8
0,0,12,14,g,0,0,10,14
0,0,12,15,g,0,0,14,22
0,0,12,16,k,0,3,12,16
0,0,12,17,k,0,4,12,0
0,0,12,18,k,0,4,12,8
0,0,12,19,k,0,4,12,9
0,0,12,20,g,0,0,13,23
0,0,12,21,g,0,0,8,23
0,0,12,22,g,0,0,15,21
0,0,12,23,g,0,0,11,20
0,0,12,24,k,0,1,12,26
0,0,12,25,k,0,2,12,34
0,0,12,26,k,0,2,12,26
0,0,12,27,k,0,3,12,35
0,0,12,28,g,0,0,4,26
0,0,12,29,g,0,0,3,25
0,0,12,30,g,0,0,1,34
0,0,12,31,g,0,0,2,25
0,0,12,32,k,0,1,12,25
0,0,12,33,k,0,1,12,34
0,0,12,34,k,0,2,12,25
0,0,12,35,k,0,3,12,27
0,0,12,36,g,0,0,5,27
0,0,12,37,g,0,0,0,24
0,0,12,38,g,0,0,7,26
0,0,12,39,g,0,0,6,32
0,0,13,0,k,0,5,13,0
0,0,13,5,b,7,0,1,1
0,0,13,6,b,7,0,1,2
0,0,13,7,g,0,0,9,14
0,0,13,8,k,0,5,13,9
0,0,13,9,k,0,5,13,8
0,0,13,14,g,0,0,11,7
0,0,13,15,g,0,0,10,21
0,0,13,16,k,0,3,13,16
0,0,13,17,k,0,4,13,0
0,0,13,18,k,0,4,13,8
0,0,13,19,k,0,4,13,9
0,0,13,20,g,0,0,14,23
0,0,13,21,g,0,0,15,14
0,0,13,22,g,0,0,8,21
0,0,13,23,g,0,0,12,20
0,0,13,24,k,0,1,13,26
0,0,13,25,k,0,2,13,34
0,0,13,26,k,0,2,13,26
0,0,13,27,k,0,3,13,35
0,0,13,28,g,0,0,1,26
0,0,13,29,g,0,0,3,34
0,0,13,30,g,0,0,5,35
0,0,13,31,g,0,0,0,32
0,0,13,32,k,0,1,13,25
0,0,13,33,k,0,1,13,34
0,0,13,34,k,0,2,13,25
0,0,13,35,k,0,3,13,27
0,0,13,36,g,0,0,4,27
0,0,13,37,g,0,0,2,24
0,0,13,38,g,0,0,6,27
0,0,13,39,g,0,0,7,27
0,0,14,0,k,0,5,14,0
0,0,14,5,b,8,0,0,1
0,0,14,6,b,8,0,0,2
0,0,14,7,g,0,0,9,15
0,0,14,8,k,0,5,14,9
0,0,14,9,k,0,5,14,8
0,0,14,14,g,0,0,10,7
0,0,14,15,g,0,0,8,7
0,0,14,16,k,0,3,14,16
0,0,14,17,k,0,4,14,0
0,0,14,18,k,0,4,14,8
0,0,14,19,k,0,4,14,9
0,0,14,20,g,0,0,15,23
0,0,14,21,g,0,0,11,15
0,0,14,22,g,0,0,12,15
0,0,14,23,g,0,0,13,20
0,0,14,24,k,0,1,14,26
0,0,14,25,k,0,2,14,34
0,0,14,26,k,0,2,14,26
0,0,14,27,k,0,3,14,35
0,0,14,28,g,0,0,7,35
0,0,14,29,g,0,0,6,34
0,0,14,30,g,0,0,2,35
0,0,14,31,g,0,0,3,26
0,0,14,32,k,0,1,14,25
0,0,14,33,k,0,1,14,34
0,0,14,34,k,0,2,14,25
0,0,14,35,k,0,3,14,27
0,0,14,36,g,0,0,1,27
0,0,14,37,g,0,0,5,25
0,0,14,38,g,0,0,0,33
0,0,14,39,g,0,0,4,25
0,0,15,0,k,0,5,15,0
0,0,15,5,b,8,0,1,1
0,0,15,6,b,8,0,1,2
0,0,15,7,g,0,0,8,14
0,0,15,8,k,0,5,15,9
0,0,15,9,k,0,5,15,8
0,0,15,14,g,0,0,13,21
0,0,15,15,g,0,0,11,22
0,0,15,16,k,0,3,15,16
0,0,15,17,k,0,4,15,0
0,0,15,18,k,0,4,15,8
0,0,15,19,k,0,4,15,9
0,0,15,20,g,0,0,9,21
0,0,15,21,g,0,0,12,22
0,0,15,22,g,0,0,10,15
0,0,15,23,g,0,0,14,20
0,0,15,24,k,0,1,15,26
0,0,15,25,k,0,2,15,34
0,0,15,26,k,0,2,15,26
0,0,15,27,k,0,3,15,35
0,0,15,28,g,0,0,5,24
0,0,15,29,g,0,0,4,34
0,0,15,30,g,0,0,7,25
0,0,15,31,g,0,0,0,34
0,0,15,32,k,0,1,15,25
0,0,15,33,k,0,1,15,34
0,0,15,34,k,0,2,15,25
0,0,15,35,k,0,3,15,27
0,0,15,36,g,0,0,6,26
0,0,15,37,g,0,0,3,24
0,0,15,38,g,0,0,2,34
0,0,15,39,g,0,0,1,32
0,1,0,0,g,0,1,6,8
0,1,0,1,b,1,1,0,1
0,1,0,2,b,1,1,0,2
0,1,0,3,b,9,1,0,2
0,1,0,7,k,0,3,0,20
0,1,0,8,g,0,1,2,17
0,1,0,9,g,0,1,7,0
0,1,0,10,b,9,1,0,1
0,1,0,14,k,0,3,0,22
0,1,0,15,k,0,3,0,21
0,1,0,16,g,0,1,4,18
0,1,0,17,g,0,1,3,18
0,1,0,18,g,0,1,5,17
0,1,0,19,g,0,1,1,16
0,1,0,20,k,0,5,0,22
0,1,0,21,k,0,5,0,21
0,1,0,22,k,0,5,0,20
0,1,0,23,k,0,4,0,36
0,1,0,24,g,0,1,12,37
0,1,0,25,g,0,1,11,31
0,1,0,26,g,0,1,8,29
0,1,0,27,g,0,1,9,30
0,1,0,28,k,0,4,0,28
0,1,0,29,k,0,0,0,39
0,1,0,30,k,0,0,0,38
0,1,0,31,k,0,2,0,39
0,1,0,32,g,0,1,13,31
0,1,0,33,g,0,1,14,38
0,1,0,34,g,0,1,15,31
0,1,0,35,g,0,1,10,37
0,1,0,36,k,0,4,0,23
0,1,0,37,k,0,0,0,31
0,1,0,38,k,0,2,0,38
0,1,0,39,k,0,2,0,31
0,1,1,0,g,0,1,3,9
0,1,1,1,b,1,1,1,1
0,1,1,2,b,1,1,1,2
0,1,1,3,b,9,1,1,2
0,1,1,7,k,0,3,1,20
0,1,1,8,g,0,1,6,0
0,1,1,9,g,0,1,5,0
0,1,1,10,b,9,1,1,1
0,1,1,14,k,0,3,1,22
0,1,1,15,k,0,3,1,21
0,1,1,16,g,0,1,0,19
0,1,1,17,g,0,1,4,0
0,1,1,18,g,0,1,7,19
0,1,1,19,g,0,1,2,16
0,1,1,20,k,0,5,1,22
0,1,1,21,k,0,5,1,21
0,1,1,22,k,0,5,1,20
0,1,1,23,k,0,4,1,36
0,1,1,24,g,0,1,10,29
0,1,1,25,g,0,1,9,31
0,1,1,26,g,0,1,13,28
0,1,1,27,g,0,1,14,36
0,1,1,28,k,0,4,1,28
0,1,1,29,k,0,0,1,39
0,1,1,30,k,0,0,1,38
0,1,1,31,k,0,2,1,39
0,1,1,32,g,0,1,15,39
0,1,1,33,g,0,1,11,29
0,1,1,34,g,0,1,12,30
0,1,1,35,g,0,1,8,28
0,1,1,36,k,0,4,1,23
0,1,1,37,k,0,0,1,31
0,1,1,38,k,0,2,1,38
0,1,1,39,k,0,2,1,31
0,1,2,0,g,0,1,6,9
0,1,2,1,b,2,1,0,1
0,1,2,2,b,2,1,0,2
0,1,2,3,b,10,1,0,2
0,1,2,7,k,0,3,2,20
0,1,2,8,g,0,1,7,17
0,1,2,9,g,0,1,4,9
0,1,2,10,b,10,1,0,1
0,1,2,14,k,0,3,2,22
0,1,2,15,k,0,3,2,21
0,1,2,16,g,0,1,1,19
0,1,2,17,g,0,1,0,8
0,1,2,18,g,0,1,5,8
0,1,2,19,g,0,1,3,16
0,1,2,20,k,0,5,2,22
0,1,2,21,k,0,5,2,21
0,1,2,22,k,0,5,2,20
0,1,2,23,k,0,4,2,36
0,1,2,24,g,0,1,13,37
0,1,2,25,g,0,1,12,31
0,1,2,26,g,0,1,10,28
0,1,2,27,g,0,1,11,36
0,1,2,28,k,0,4,2,28
0,1,2,29,k,0,0,2,39
0,1,2,30,k,0,0,2,38
0,1,2,31,k,0,2,2,39
0,1,2,32,g,0,1,9,36
0,1,2,33,g,0,1,8,36
0,1,2,34,g,0,1,15,38
0,1,2,35,g,0,1,14,30
0,1,2,36,k,0,4,2,23
0,1,2,37,k,0,0,2,31
0,1,2,38,k,0,2,2,38
0,1,2,39,k,0,2,2,31
0,1,3,0,g,0,1,5,9
0,1,3,1,b,2,1,1,1
0,1,3,2,b,2,1,1,2
0,1,3,3,b,10,1,1,2
0,1,3,7,k,0,3,3,20
0,1,3,8,g,0,1,6,18
0,1,3,9,g,0,1,1,0
0,1,3,10,b,10,1,1,1
0,1,3,14,k,0,3,3,22
0,1,3,15,k,0,3,3,21
0,1,3,16,g,0,1,2,19
0,1,3,17,g,0,1,7,8
0,1,3,18,g,0,1,0,17
0,1,3,19,g,0,1,4,16
0,1,3,20,k,0,5,3,22
0,1,3,21,k,0,5,3,21
0,1,3,22,k,0,5,3,20
0,1,3,23,k,0,4,3,36
0,1,3,24,g,0,1,15,37
0,1,3,25,g,0,1,12,29
0,1,3,26,g,0,1,14,31
0,1,3,27,g,0,1,10,36
0,1,3,28,k,0,4,3,28
0,1,3,29,k,0,0,3,39
0,1,3,30,k,0,0,3,38
0,1,3,31,k,0,2,3,39
0,1,3,32,g,0,1,8,30
0,1,3,33,g,0,1,9,38
0,1,3,34,g,0,1,13,29
0,1,3,35,g,0,1,11,30
0,1,3,36,k,0,4,3,23
0,1,3,37,k,0,0,3,31
0,1,3,38,k,0,2,3,38
0,1,3,39,k,0,2,3,31
0,1,4,0,g,0,1,1,17
0,1,4,1,b,3,1,0,1
0,1,4,2,b,3,1,0,2
0,1,4,3,b,11,1,0,2
0,1,4,7,k,0,3,4,20
0,1,4,8,g,0,1,6,17
0,1,4,9,g,0,1,2,9
0,1,4,10,b,11,1,0,1
0,1,4,14,k,0,3,4,22
0,1,4,15,k,0,3,4,21
0,1,4,16,g,0,1,3,19
0,1,4,17,g,0,1,7,18
0,1,4,18,g,0,1,0,16
0,1,4,19,g,0,1,5,16
0,1,4,20,k,0,5,4,22
0,1,4,21,k,0,5,4,21
0,1,4,22,k,0,5,4,20
0,1,4,23,k,0,4,4,36
0,1,4,24,g,0,1,9,37
0,1,4,25,g,0,1,14,39
0,1,4,26,g,0,1,12,28
0,1,4,27,g,0,1,13,36
0,1,4,28,k,0,4,4,28
0,1,4,29,k,0,0,4,39
0,1,4,30,k,0,0,4,38
0,1,4,31,k,0,2,4,39
0,1,4,32,g,0,1,10,31
0,1,4,33,g,0,1,8,31
0,1,4,34,g,0,1,15,29
0,1,4,35,g,0,1,11,28
0,1,4,36,k,0,4,4,23
0,1,4,37,k,0,0,4,31
0,1,4,38,k,0,2,4,38
0,1,4,39,k,0,2,4,31
0,1,5,0,g,0,1,1,9
0,1,5,1,b,3,1,1,1
0,1,5,2,b,3,1,1,2
0,1,5,3,b,11,1,1,2
0,1,5,7,k,0,3,5,20
0,1,5,8,g,0,1,2,18
0,1,5,9,g,0,1,3,0
0,1,5,10,b,11,1,1,1
0,1,5,14,k,0,3,5,22
0,1,5,15,k,0,3,5,21
0,1,5,16,g,0,1,4,19
0,1,5,17,g,0,1,0,18
0,1,5,18,g,0,1,7,9
0,1,5,19,g,0,1,6,16
0,1,5,20,k,0,5,5,22
0,1,5,21,k,0,5,5,21
0,1,5,22,k,0,5,5,20
0,1,5,23,k,0,4,5,36
0,1,5,24,g,0,1,15,28
0,1,5,25,g,0,1,14,37
0,1,5,26,g,0,1,9,29
0,1,5,27,g,0,1,12,36
0,1,5,28,k,0,4,5,28
0,1,5,29,k,0,0,5,39
0,1,5,30,k,0,0,5,38
0,1,5,31,k,0,2,5,39
0,1,5,32,g,0,1,8,39
0,1,5,33,g,0,1,10,39
0,1,5,34,g,0,1,11,38
0,1,5,35,g,0,1,13,30
0,1,5,36,k,0,4,5,23
0,1,5,37,k,0,0,5,31
0,1,5,38,k,0,2,5,38
0,1,5,39,k,0,2,5,31
0,1,6,0,g,0,1,1,8
0,1,6,1,b,4,1,0,1
0,1,6,2,b,4,1,0,2
0,1,6,3,b,13,1,0,2
0,1,6,7,k,0,3,6,20
0,1,6,8,g,0,1,0,0
0,1,6,9,g,0,1,2,0
0,1,6,10,b,13,1,0,1
0,1,6,14,k,0,3,6,22
0,1,6,15,k,0,3,6,21
0,1,6,16,g,0,1,5,19
0,1,6,17,g,0,1,4,8
0,1,6,18,g,0,1,3,8
0,1,6,19,g,0,1,7,16
0,1,6,20,k,0,5,6,22
0,1,6,21,k,0,5,6,21
0,1,6,22,k,0,5,6,20
0,1,6,23,k,0,4,6,36
0,1,6,24,g,0,1,11,37
0,1,6,25,g,0,1,10,30
0,1,6,26,g,0,1,15,36
0,1,6,27,g,0,1,13,38
0,1,6,28,k,0,4,6,28
0,1,6,29,k,0,0,6,39
0,1,6,30,k,0,0,6,38
0,1,6,31,k,0,2,6,39
0,1,6,32,g,0,1,12,39
0,1,6,33,g,0,1,8,38
0,1,6,34,g,0,1,14,29
0,1,6,35,g,0,1,9,28
0,1,6,36,k,0,4,6,23
0,1,6,37,k,0,0,6,31
0,1,6,38,k,0,2,6,38
0,1,6,39,k,0,2,6,31
