sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
12,2,11,12,0,11,k,301.992950,34.823046,0.037521,0.411512,46.100706,208.622231,0.121602,3.166111,8.710221
13,2,11,13,0,11,k,486.086135,55.975990,0.061632,0.205535,74.135254,298.342992,0.193223,5.061367,52.110142
14,2,11,14,0,11,k,561.087627,57.922878,0.062074,0.377076,120.726361,347.187712,2.763603,5.112981,26.934942
15,2,11,15,0,11,k,699.565530,53.098110,1.191028,0.173924,63.250840,486.765635,0.521721,70.339044,24.225227
0,2,11,0,1,11,k,82.506151,71.496060,0.077097,0.049612,0.996807,3.572096,0.043007,0.710081,5.561392
1,2,11,1,1,11,k,83.833720,83.758342,0.075378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2,11,2,1,11,k,21.089274,20.308585,0.780689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,11,3,1,11,k,53.359799,0.006813,0.668463,0.000000,32.029327,0.000000,0.000000,20.655196,0.000000
4,2,11,4,1,11,k,160.972488,0.000000,0.160442,0.000000,85.006757,0.000000,0.000000,75.805290,0.000000
5,2,11,5,1,11,k,170.595038,0.000000,0.000000,0.000000,120.018880,0.000000,0.000000,50.576158,0.000000
6,2,11,6,1,11,k,195.483629,0.000000,0.000000,0.000000,144.554133,0.000000,0.000000,50.929496,0.000000
7,2,11,7,1,11,k,338.811788,0.000000,0.000000,0.000000,243.809507,0.000000,0.217826,93.596390,1.188065
8,2,11,8,1,11,k,107.557070,0.000000,0.000000,0.000000,60.343770,0.000000,0.868136,14.536581,31.808583
9,2,11,9,1,11,k,118.156684,0.000000,0.000000,0.000000,0.000000,88.555015,0.000000,0.000000,29.601669
10,2,11,10,1,11,k,464.544889,0.000000,0.000000,0.042779,0.000000,459.771349,0.000000,0.000000,4.730761
11,2,11,11,1,11,k,296.932201,0.000000,0.000000,0.021563,0.000000,291.433108,0.000000,0.000000,5.477530
12,2,11,12,1,11,k,78.786217,0.000000,0.000000,0.793577,0.000000,77.992640,0.000000,0.000000,0.000000
13,2,11,13,1,11,k,59.862136,0.000000,0.000000,0.045288,0.000000,3.609215,0.000000,0.000000,56.207633
14,2,11,14,1,11,k,15.264434,0.000000,0.000000,0.188082,0.000000,0.000000,4.337200,0.000000,10.739152
15,2,11,15,1,11,k,67.282981,0.002054,0.014836,0.008370,0.713725,2.447105,0.100452,3.159697,60.836743
0,2,11,0,2,0,g,53.882395,46.212749,0.030927,0.014207,0.111313,6.943373,0.009067,0.000000,0.560759
